Kennziffer;Raumeinheit;Aggregat;Anteil Siedlungs- und Verkehrsfläche;Anteil Siedlungs- und Verkehrsfläche;Siedlungsdichte;Siedlungsdichte;Anteil Erholungsfläche;Anteil Erholungsfläche;Erholungsfläche je Einwohner;Erholungsfläche je Einwohner;Anteil Freifläche;Anteil Freifläche;Freifläche je Einwohner;Freifläche je Einwohner;Anteil Landwirtschaftsfläche;Anteil Landwirtschaftsfläche;Anteil naturnähere Fläche;Anteil naturnähere Fläche;Naturnähere Fläche je Einwohner;Naturnähere Fläche je Einwohner;Anteil Waldfläche;Anteil Waldfläche;Waldfläche je Einwohner;Waldfläche je Einwohner;Anteil Wasserfläche;Anteil Wasserfläche;Wasserfläche je Einwohner;Wasserfläche je Einwohner
;;;2016;2017;2016;2017;2016;2017;2016;2017;2016;2017;2016;2017;2016;2017;2016;2017;2016;2017;2016;2017;2016;2017;2016;2017;2016;2017
"03102";"Salzgitter, Stadt";"krsfr. Stadt";"28,4";"28,2";"1.623,9";"1.649,3";"3,4";"3,2";"73,0";"68,4";"75,2";"75,2";"1.628,8";"1.615,3";"50,0";"49,9";"5,3";"5,6";"115,9";"120,4";"17,9";"18,1";"387,9";"388,7";"2,6";"2,7";"57,1";"56,9"
"03103";"Wolfsburg, Stadt";"krsfr. Stadt";"31,1";"31,4";"1.948,6";"1.930,7";"4,6";"4,6";"75,6";"76,7";"73,9";"73,6";"1.219,7";"1.216,1";"40,4";"40,5";"5,7";"5,4";"93,7";"88,4";"24,0";"23,9";"396,3";"394,3";"2,7";"2,7";"44,5";"44,9"
"03151";"Gifhorn";"Landkreis";"10,8";"10,9";"1.030,2";"1.026,0";"0,9";"0,9";"79,5";"79,1";"90,1";"90,1";"8.084,7";"8.063,4";"50,5";"50,5";"5,2";"5,1";"467,9";"453,9";"34,1";"34,1";"3.054,9";"3.056,7";"1,5";"1,5";"136,8";"131,6"
"03153";"Goslar";"Landkreis";"11,0";"10,9";"1.302,7";"1.306,3";"1,1";"1,0";"75,9";"70,7";"90,2";"90,2";"6.321,3";"6.339,7";"27,8";"28,0";"5,1";"6,0";"357,5";"418,5";"58,5";"58,5";"4.100,2";"4.110,5";"1,8";"1,8";"124,3";"124,5"
"03154";"Helmstedt";"Landkreis";"12,1";"12,2";"1.124,7";"1.113,6";"0,9";"0,9";"67,6";"66,7";"88,9";"88,8";"6.529,1";"6.548,3";"58,9";"59,0";"3,4";"3,6";"249,2";"266,7";"25,0";"25,3";"1.835,4";"1.868,4";"1,5";"1,6";"110,7";"117,2"
"03155";"Northeim";"Landkreis";"11,5";"11,6";"912,0";"904,3";"0,9";"0,9";"87,7";"89,2";"89,5";"89,4";"8.495,7";"8.528,1";"48,2";"48,3";"2,4";"2,5";"224,7";"241,2";"38,9";"38,8";"3.695,7";"3.700,1";"1,1";"1,0";"99,8";"99,9"
"03157";"Peine";"Landkreis";"17,9";"17,9";"1.388,5";"1.386,5";"1,6";"1,6";"65,6";"65,0";"83,9";"83,8";"3.384,1";"3.370,7";"68,6";"68,5";"4,3";"4,3";"172,9";"172,0";"10,4";"10,4";"420,5";"418,4";"2,2";"2,2";"90,1";"90,4"
"03158";"Wolfenbüttel";"Landkreis";"12,1";"12,1";"1.375,0";"1.369,5";"1,2";"1,2";"73,9";"72,4";"89,2";"89,2";"5.342,8";"5.361,7";"67,1";"67,1";"2,4";"2,5";"145,4";"147,4";"19,3";"19,3";"1.156,2";"1.163,3";"1,1";"1,1";"65,8";"66,8"
"03159";"Göttingen";"Landkreis";"13,4";"13,6";"1.390,5";"1.376,0";"1,3";"1,3";"70,3";"68,2";"88,0";"87,8";"4.724,8";"4.699,3";"42,3";"42,3";"2,0";"2,0";"109,2";"107,8";"42,6";"42,4";"2.288,6";"2.271,2";"1,1";"1,1";"61,0";"60,1"
"03241";"Region Hannover";"Landkreis";"22,2";"22,2";"2.253,0";"2.263,6";"2,9";"2,8";"57,2";"56,4";"80,9";"80,9";"1.617,8";"1.612,1";"51,8";"51,9";"6,1";"6,1";"121,9";"121,6";"20,1";"20,1";"401,4";"400,5";"3,1";"3,0";"61,0";"60,8"
"03251";"Diepholz";"Landkreis";"12,5";"12,6";"862,6";"863,8";"0,7";"0,7";"61,4";"62,5";"88,2";"88,2";"8.163,8";"8.126,7";"70,1";"70,0";"7,4";"7,4";"681,8";"684,8";"10,2";"10,3";"945,3";"945,5";"2,0";"2,0";"184,5";"182,3"
"03252";"Hameln-Pyrmont";"Landkreis";"14,3";"14,3";"1.295,8";"1.297,1";"1,5";"1,5";"80,1";"79,8";"87,3";"87,3";"4.694,5";"4.693,7";"51,8";"51,8";"2,3";"2,2";"121,4";"120,4";"31,9";"32,0";"1.718,5";"1.718,5";"1,4";"1,4";"74,3";"75,3"
"03254";"Hildesheim";"Landkreis";"15,4";"15,3";"1.492,4";"1.491,9";"1,6";"1,5";"68,8";"67,1";"86,3";"86,3";"3.762,4";"3.770,1";"58,1";"58,1";"2,5";"2,5";"107,8";"108,7";"24,4";"24,5";"1.063,5";"1.068,8";"1,4";"1,4";"59,5";"60,7"
"03255";"Holzminden";"Landkreis";"10,7";"10,7";"964,7";"960,2";"1,1";"1,0";"102,9";"102,3";"90,5";"90,5";"8.782,0";"8.826,9";"41,4";"41,5";"2,7";"2,6";"257,3";"255,1";"45,8";"46,0";"4.443,4";"4.484,6";"1,2";"1,2";"113,4";"114,3"
"03256";"Nienburg (Weser)";"Landkreis";"11,3";"11,4";"764,4";"763,5";"0,6";"0,6";"65,3";"68,4";"89,3";"89,3";"10.292,8";"10.297,6";"63,5";"63,4";"6,0";"6,0";"695,9";"697,6";"18,7";"18,9";"2.150,8";"2.178,5";"2,3";"2,3";"269,4";"262,0"
"03257";"Schaumburg";"Landkreis";"18,0";"17,9";"1.297,6";"1.309,0";"1,2";"1,2";"51,8";"49,3";"83,4";"83,4";"3.574,6";"3.571,3";"53,9";"53,8";"2,7";"2,9";"115,9";"122,7";"25,8";"26,0";"1.104,1";"1.110,7";"1,7";"1,7";"74,9";"74,4"
"03351";"Celle";"Landkreis";"11,8";"11,9";"972,4";"969,4";"1,0";"1,0";"86,6";"89,2";"89,3";"89,3";"7.763,1";"7.743,3";"36,5";"36,4";"6,8";"6,8";"590,7";"589,5";"46,5";"46,5";"4.038,6";"4.037,5";"1,5";"1,5";"126,2";"126,1"
"03352";"Cuxhaven";"Landkreis";"11,4";"11,5";"847,8";"837,4";"0,8";"0,8";"78,4";"79,1";"89,4";"89,3";"9.269,8";"9.285,7";"72,5";"72,4";"7,8";"7,7";"810,5";"800,4";"9,1";"9,2";"947,6";"957,6";"2,6";"2,6";"269,1";"274,9"
"03353";"Harburg";"Landkreis";"16,7";"16,7";"1.203,5";"1.203,3";"1,4";"1,4";"72,2";"70,3";"84,9";"84,8";"4.233,5";"4.207,5";"50,0";"50,4";"5,0";"5,0";"248,0";"248,5";"28,5";"28,3";"1.419,3";"1.404,6";"1,9";"1,9";"93,8";"93,0"
"03354";"Lüchow-Dannenberg";"Landkreis";"8,1";"8,1";"489,4";"484,9";"0,3";"0,3";"87,5";"88,3";"92,3";"92,3";"23.192,2";"23.417,5";"51,2";"51,1";"3,8";"3,8";"957,7";"968,6";"37,2";"37,4";"9.361,2";"9.481,2";"2,2";"2,2";"556,7";"554,0"
"03355";"Lüneburg";"Landkreis";"11,5";"11,5";"1.192,8";"1.194,6";"1,1";"1,1";"82,5";"78,1";"89,8";"89,6";"6.561,9";"6.506,5";"50,8";"51,1";"5,3";"4,7";"386,9";"341,9";"32,8";"33,3";"2.397,2";"2.415,1";"2,5";"2,6";"185,2";"185,5"
"03356";"Osterholz";"Landkreis";"15,3";"15,3";"1.128,5";"1.129,0";"1,0";"1,0";"60,3";"60,2";"85,8";"85,7";"4.968,9";"4.948,1";"65,9";"65,8";"7,8";"7,9";"453,8";"453,2";"11,9";"11,9";"689,0";"687,9";"2,4";"2,4";"137,5";"137,8"
"03357";"Rotenburg (Wümme)";"Landkreis";"11,0";"11,0";"713,4";"714,7";"0,7";"0,7";"88,2";"85,0";"89,7";"89,7";"11.393,6";"11.392,6";"66,5";"66,5";"6,2";"6,2";"789,4";"788,7";"17,1";"17,2";"2.171,2";"2.190,6";"0,9";"0,9";"118,6";"119,5"
"03358";"Heidekreis";"Landkreis";"9,8";"10,3";"760,7";"716,8";"0,9";"1,0";"121,5";"131,9";"91,2";"90,7";"12.288,4";"12.270,8";"39,2";"39,3";"16,0";"10,5";"2.157,5";"1.419,9";"35,9";"40,9";"4.839,4";"5.535,4";"0,9";"1,0";"120,7";"130,0"
"03359";"Stade";"Landkreis";"12,5";"12,5";"1.270,5";"1.277,8";"0,7";"0,7";"41,3";"42,3";"88,2";"88,3";"5.545,2";"5.543,0";"70,3";"70,4";"9,7";"9,7";"611,4";"609,2";"7,2";"7,2";"455,5";"452,8";"6,8";"6,8";"424,7";"424,5"
"03360";"Uelzen";"Landkreis";"8,7";"8,7";"730,7";"726,7";"0,6";"0,6";"90,7";"93,3";"91,9";"91,9";"14.465,0";"14.496,8";"52,4";"52,4";"5,7";"4,7";"892,8";"749,1";"33,5";"34,6";"5.274,6";"5.456,1";"0,7";"0,7";"113,7";"112,0"
"03361";"Verden";"Landkreis";"15,0";"15,0";"1.147,7";"1.153,0";"1,1";"1,1";"64,6";"64,4";"86,2";"86,2";"5.009,8";"4.981,4";"67,2";"67,3";"5,0";"5,0";"293,1";"289,2";"13,4";"13,4";"775,9";"773,0";"2,4";"2,3";"140,6";"133,4"
"03401";"Delmenhorst, Stadt";"krsfr. Stadt";"48,1";"48,1";"2.564,7";"2.578,9";"3,2";"3,3";"26,0";"26,6";"55,6";"55,6";"450,5";"448,3";"44,8";"44,8";"4,9";"4,7";"39,7";"37,9";"3,3";"3,3";"27,1";"26,8";"2,0";"2,0";"16,4";"16,1"
"03402";"Emden, Stadt";"krsfr. Stadt";"27,8";"27,8";"1.618,1";"1.621,5";"1,9";"2,3";"43,0";"51,4";"74,4";"74,7";"1.654,9";"1.659,3";"61,0";"61,4";"8,8";"8,4";"196,3";"186,5";"1,5";"1,7";"32,3";"38,3";"7,2";"7,2";"160,4";"160,1"
"03403";"Oldenburg (Oldenburg), Stadt";"krsfr. Stadt";"59,3";"59,2";"2.709,9";"2.738,1";"5,8";"5,7";"36,1";"35,4";"46,9";"47,0";"292,0";"289,9";"28,6";"28,5";"8,8";"9,0";"54,7";"55,8";"6,5";"6,8";"40,7";"42,1";"3,9";"3,8";"24,4";"23,3"
"03404";"Osnabrück, Stadt";"krsfr. Stadt";"49,5";"49,3";"2.768,2";"2.781,3";"4,5";"4,5";"33,2";"33,1";"55,8";"56,0";"407,6";"407,9";"31,1";"31,3";"2,8";"2,8";"20,7";"20,6";"17,1";"16,9";"124,5";"123,3";"1,5";"1,6";"11,0";"11,3"
"03405";"Wilhelmshaven, Stadt";"krsfr. Stadt";"45,4";"44,9";"1.568,9";"1.586,9";"4,8";"4,7";"66,8";"66,4";"59,7";"60,1";"838,7";"843,6";"38,3";"38,8";"12,8";"12,7";"179,7";"178,2";"10,3";"10,2";"144,4";"143,1";"5,5";"5,5";"77,8";"77,7"
"03451";"Ammerland";"Landkreis";"17,3";"17,3";"972,6";"975,4";"1,3";"1,4";"80,4";"80,7";"84,1";"84,1";"5.009,0";"4.980,0";"68,0";"67,9";"4,6";"4,7";"275,1";"278,2";"10,7";"10,7";"637,5";"635,7";"2,5";"2,6";"149,5";"152,2"
