Kennziffer;Raumeinheit;Aggregat;Gemeindeverwaltungen;Kreisverwaltungen;Finanzämter;Polizeidienststellen;Polizeidienststellen, zeitweise besetzt;Polizeidienststellen, durchgehend besetzt;Arbeitsmarktverwaltungseinrichtungen;Jobcenter;Geschäftsstellen der Agentur für Arbeit;Agenturen für Arbeit oder Regionaldirektionen;Gerichte;Amtsgerichte;Landgerichte;Oberlandesgerichte
"06534014";"Marburg, Universitätsstadt";"Oberzentrum";"1";"1";"1";"2";"1";"1";"2";"1";"0";"1";"2";"1";"1";"0"
"06611000";"Kassel, documenta-Stadt";"Oberzentrum";"1";"1";"2";"4";"2";"2";"8";"7";"0";"1";"2";"1";"1";"0"
"06631009";"Fulda, Stadt";"Oberzentrum";"1";"1";"1";"1";"0";"1";"2";"1";"0";"1";"2";"1";"1";"0"
"07111000";"Koblenz, Stadt";"Oberzentrum";"1";"1";"1";"3";"0";"3";"6";"5";"0";"1";"3";"1";"1";"1"
"07211000";"Trier, Stadt";"Oberzentrum";"1";"1";"1";"4";"1";"3";"5";"4";"0";"1";"2";"1";"1";"0"
"07312000";"Kaiserslautern, Stadt";"Oberzentrum";"1";"1";"1";"4";"0";"4";"7";"6";"0";"1";"2";"1";"1";"0"
"07314000";"Ludwigshafen am Rhein, Stadt";"Oberzentrum";"1";"1";"1";"5";"1";"4";"4";"3";"0";"1";"1";"1";"0";"0"
"07315000";"Mainz, Stadt";"Oberzentrum";"1";"1";"2";"5";"0";"5";"5";"4";"0";"1";"2";"1";"1";"0"
"08111000";"Stuttgart, Landeshauptstadt";"Oberzentrum";"1";"1";"6";"8";"0";"8";"3";"1";"0";"2";"4";"2";"1";"1"
"08121000";"Heilbronn, Stadt";"Oberzentrum";"1";"1";"1";"2";"0";"2";"4";"3";"0";"1";"2";"1";"1";"0"
"08212000";"Karlsruhe, Stadt";"Oberzentrum";"1";"1";"2";"6";"0";"6";"5";"4";"0";"1";"4";"2";"1";"1"
"08221000";"Heidelberg, Stadt";"Oberzentrum";"1";"1";"1";"3";"0";"3";"7";"6";"0";"1";"2";"1";"1";"0"
"08222000";"Mannheim, Universitätsstadt";"Oberzentrum";"1";"1";"2";"6";"0";"6";"19";"18";"0";"1";"2";"1";"1";"0"
"08231000";"Pforzheim, Stadt";"Oberzentrum";"1";"1";"1";"2";"0";"2";"3";"2";"1";"0";"1";"1";"0";"0"
"08311000";"Freiburg im Breisgau, Stadt";"Oberzentrum";"1";"1";"2";"2";"0";"2";"7";"6";"0";"1";"3";"1";"1";"1"
"08317096";"Offenburg, Stadt";"Oberzentrum";"1";"1";"1";"1";"0";"1";"2";"1";"0";"1";"2";"1";"1";"0"
"08326074";"Villingen-Schwenningen, Stadt";"Oberzentrum";"1";"1";"1";"2";"0";"2";"2";"1";"0";"1";"1";"1";"0";"0"
"08335043";"Konstanz, Universitätsstadt";"Oberzentrum";"1";"1";"1";"1";"0";"1";"3";"2";"0";"1";"2";"1";"1";"0"
"08336050";"Lörrach, Stadt";"Oberzentrum";"1";"1";"1";"1";"0";"1";"2";"1";"0";"1";"1";"1";"0";"0"
"08336091";"Weil am Rhein, Stadt";"Oberzentrum";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"08415061";"Reutlingen, Stadt";"Oberzentrum";"1";"1";"1";"1";"0";"1";"4";"3";"0";"1";"1";"1";"0";"0"
"08416041";"Tübingen, Universitätsstadt";"Oberzentrum";"1";"1";"1";"1";"0";"1";"3";"2";"1";"0";"2";"1";"1";"0"
"08421000";"Ulm, Universitätsstadt";"Oberzentrum";"1";"1";"1";"2";"0";"2";"6";"5";"0";"1";"2";"1";"1";"0"
"08435016";"Friedrichshafen, Stadt";"Oberzentrum";"1";"1";"1";"1";"0";"1";"2";"1";"1";"0";"0";"0";"0";"0"
"08436064";"Ravensburg, Stadt";"Oberzentrum";"1";"1";"0";"1";"0";"1";"1";"0";"1";"0";"2";"1";"1";"0"
"08436082";"Weingarten, Stadt";"Oberzentrum";"1";"0";"1";"1";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0"
"09161000";"Ingolstadt";"Oberzentrum";"1";"1";"1";"1";"0";"1";"2";"1";"0";"1";"2";"1";"1";"0"
"09162000";"München, Landeshauptstadt";"Oberzentrum";"1";"1";"16";"21";"0";"21";"22";"21";"0";"1";"4";"1";"2";"1"
"09163000";"Rosenheim";"Oberzentrum";"1";"1";"1";"1";"0";"1";"3";"2";"0";"1";"1";"1";"0";"0"
"09171111";"Altötting, Stadt";"Oberzentrum";"1";"1";"0";"1";"0";"1";"4";"3";"1";"0";"1";"1";"0";"0"
"09171112";"Burghausen, Stadt";"Oberzentrum";"1";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"09171125";"Neuötting, Stadt";"Oberzentrum";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"09172114";"Bad Reichenhall, GKSt";"Oberzentrum";"1";"1";"0";"1";"0";"1";"2";"1";"1";"0";"0";"0";"0";"0"
"09172118";"Freilassing, Stadt";"Oberzentrum";"1";"0";"0";"1";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0"
"09177117";"Erding, GKSt";"Oberzentrum";"1";"1";"1";"1";"0";"1";"2";"1";"1";"0";"1";"1";"0";"0"
"09178124";"Freising, GKSt";"Oberzentrum";"1";"1";"1";"2";"0";"2";"3";"2";"0";"1";"1";"1";"0";"0"
"09180117";"Garmisch-Partenkirchen, Markt";"Oberzentrum";"1";"1";"1";"1";"0";"1";"2";"1";"1";"0";"1";"1";"0";"0"
"09183128";"Mühldorf a.Inn, Stadt";"Oberzentrum";"1";"1";"1";"1";"0";"1";"2";"1";"1";"0";"1";"1";"0";"0"
"09183148";"Waldkraiburg, Stadt";"Oberzentrum";"1";"0";"0";"1";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0"
"09189155";"Traunstein, GKSt";"Oberzentrum";"1";"1";"1";"1";"0";"1";"2";"1";"0";"1";"2";"1";"1";"0"
"09190157";"Weilheim i.OB, Stadt";"Oberzentrum";"1";"1";"1";"1";"0";"1";"2";"1";"0";"1";"1";"1";"0";"0"
"09261000";"Landshut";"Oberzentrum";"1";"1";"1";"1";"0";"1";"6";"5";"0";"1";"2";"1";"1";"0"
"09262000";"Passau";"Oberzentrum";"1";"1";"1";"1";"0";"1";"3";"2";"0";"1";"2";"1";"1";"0"
"09263000";"Straubing";"Oberzentrum";"1";"1";"1";"1";"0";"1";"2";"1";"1";"0";"1";"1";"0";"0"
"09271119";"Deggendorf, GKSt";"Oberzentrum";"1";"1";"1";"1";"0";"1";"2";"1";"0";"1";"2";"1";"1";"0"
"09271146";"Plattling, Stadt";"Oberzentrum";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"09279112";"Dingolfing, Stadt";"Oberzentrum";"1";"1";"1";"1";"0";"1";"2";"1";"1";"0";"0";"0";"0";"0"
"09361000";"Amberg";"Oberzentrum";"1";"1";"1";"1";"0";"1";"3";"2";"1";"0";"2";"1";"1";"0"
"09362000";"Regensburg";"Oberzentrum";"1";"1";"1";"2";"0";"2";"3";"2";"0";"1";"2";"1";"1";"0"
"09363000";"Weiden i.d.OPf.";"Oberzentrum";"1";"1";"1";"1";"0";"1";"2";"1";"0";"1";"2";"1";"1";"0"
"09372116";"Cham, Stadt";"Oberzentrum";"1";"1";"1";"1";"0";"1";"3";"2";"1";"0";"1";"1";"0";"0"
"09373147";"Neumarkt i.d.OPf., GKSt";"Oberzentrum";"1";"1";"1";"1";"0";"1";"2";"1";"1";"0";"1";"1";"0";"0"
"09377158";"Waldsassen, Stadt";"Oberzentrum";"1";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"09461000";"Bamberg";"Oberzentrum";"1";"1";"1";"1";"0";"1";"3";"2";"1";"0";"3";"1";"1";"1"
"09462000";"Bayreuth";"Oberzentrum";"1";"1";"1";"1";"0";"1";"4";"3";"1";"0";"2";"1";"1";"0"
"09463000";"Coburg";"Oberzentrum";"1";"1";"1";"1";"0";"1";"6";"5";"0";"1";"3";"2";"1";"0"
"09464000";"Hof";"Oberzentrum";"1";"1";"1";"1";"0";"1";"5";"4";"0";"1";"2";"1";"1";"0"
"09474126";"Forchheim, GKSt";"Oberzentrum";"1";"1";"1";"1";"0";"1";"2";"1";"1";"0";"1";"1";"0";"0"
"09477128";"Kulmbach, GKSt";"Oberzentrum";"1";"1";"1";"1";"0";"1";"2";"1";"1";"0";"1";"1";"0";"0"
"09479136";"Marktredwitz, GKSt";"Oberzentrum";"1";"0";"0";"1";"0";"1";"2";"1";"1";"0";"0";"0";"0";"0"
"09479152";"Selb, GKSt";"Oberzentrum";"1";"0";"0";"1";"0";"1";"3";"2";"1";"0";"0";"0";"0";"0"
"09479169";"Wunsiedel, Stadt";"Oberzentrum";"1";"1";"1";"1";"0";"1";"1";"1";"0";"0";"1";"1";"0";"0"
