Kennziffer;Raumeinheit;Aggregat;Krankenhäuser insgesamt;Anzahl Krankenhäuser unter Grundversorgung;Anzahl Krankenhäuser mit Grundversorgung ;Anzahl Krankenhäuser mit Regelversorgung ;Anzahl Krankenhäuser mit Schwerpunktversorgung ;Anzahl Krankenhäuser mit Maximalversorgung ;Krankenhausbetten;Krankenhausbetten je 1000 Einwohner;Krankenhäuser – höchste Versorgungsstufe;Erreichbarkeit Apotheken;Ärzte je  Einwohner;Ärzte je  Einwohner;Ärzte je  Einwohner;Einwohner je Arzt;Einwohner je Arzt;Einwohner je Arzt;Hausärzte;Hausärzte;Hausärzte;Allgemeinärzte;Allgemeinärzte;Allgemeinärzte;Internisten;Internisten;Internisten;Kinderärzte;Kinderärzte;Kinderärzte
;;;2016;2016;2016;2016;2016;2016;2016;2016;2016;2017;2015;2016;2017;2015;2016;2017;2015;2016;2017;2015;2016;2017;2015;2016;2017;2015;2016;2017
"09171125";"Neuötting, Stadt";"Oberzentrum";"0";"0";"0";"0";"0";"0";"0";"0,00";"0";"87,0";"25,6";"24,4";"23,9";"390,4";"409,6";"419,2";"9,3";"9,3";"9,1";"3,5";"3,5";"3,4";"0,0";"0,0";"0,0";"25,7";"25,5";"24,7"
"09172114";"Bad Reichenhall, GKSt";"Oberzentrum";"4";"2";"1";"1";"0";"0";"331";"19,00";"3";"67,0";"27,5";"27,0";"26,2";"363,4";"369,8";"381,9";"10,3";"9,6";"9,5";"4,6";"3,9";"3,9";"3,4";"3,4";"3,3";"16,2";"15,8";"15,0"
"09172118";"Freilassing, Stadt";"Oberzentrum";"2";"2";"0";"0";"0";"0";"120";"7,00";"1";"94,0";"22,4";"21,6";"20,8";"446,5";"462,4";"479,6";"7,9";"7,8";"7,1";"4,2";"4,2";"3,6";"0,0";"0,0";"0,0";"13,8";"13,4";"13,1"
"09177117";"Erding, GKSt";"Oberzentrum";"2";"0";"1";"1";"0";"0";"300";"8,00";"3";"77,0";"24,1";"24,2";"24,5";"415,6";"412,4";"408,8";"8,0";"8,0";"8,2";"4,4";"4,1";"4,1";"1,9";"1,7";"1,6";"5,6";"5,6";"5,6"
"09178124";"Freising, GKSt";"Oberzentrum";"3";"1";"1";"1";"0";"0";"353";"7,00";"3";"79,0";"25,3";"24,7";"23,8";"394,6";"405,5";"420,2";"8,9";"8,8";"8,5";"5,7";"5,4";"5,4";"1,9";"1,9";"1,9";"9,3";"9,1";"9,1"
"09180117";"Garmisch-Partenkirchen, Markt";"Oberzentrum";"5";"3";"1";"1";"0";"0";"642";"24,00";"3";"75,0";"26,8";"26,5";"26,3";"372,5";"377,1";"380,6";"10,4";"10,3";"10,0";"6,0";"5,5";"4,8";"3,4";"3,3";"3,3";"9,9";"9,7";"19,1"
"09183128";"Mühldorf a.Inn, Stadt";"Oberzentrum";"2";"0";"1";"1";"0";"0";"267";"14,00";"3";"88,0";"33,0";"32,0";"32,3";"302,7";"312,1";"309,6";"8,9";"9,2";"8,9";"6,3";"6,1";"6,0";"4,2";"4,1";"4,0";"12,3";"11,2";"10,8"
"09183148";"Waldkraiburg, Stadt";"Oberzentrum";"0";"0";"0";"0";"0";"0";"0";"0,00";"0";"81,0";"17,5";"16,9";"17,1";"572,9";"590,8";"585,9";"8,3";"8,2";"8,1";"3,9";"3,5";"3,4";"1,3";"1,3";"1,3";"10,1";"10,1";"9,9"
"09189155";"Traunstein, GKSt";"Oberzentrum";"4";"0";"1";"1";"1";"1";"518";"26,00";"5";"71,0";"56,0";"55,5";"57,0";"178,6";"180,0";"175,4";"9,2";"9,0";"8,9";"4,6";"4,5";"4,5";"6,1";"6,0";"5,9";"11,6";"11,3";"11,0"
"09190157";"Weilheim i.OB, Stadt";"Oberzentrum";"2";"0";"1";"1";"0";"0";"160";"7,00";"3";"84,0";"34,3";"33,6";"33,5";"291,9";"297,9";"298,1";"10,8";"10,7";"10,3";"6,3";"5,8";"5,4";"1,4";"1,3";"1,3";"10,3";"10,2";"10,1"
"09261000";"Landshut";"Oberzentrum";"6";"2";"2";"2";"0";"0";"1.233";"18,00";"3";"83,0";"26,7";"26,4";"26,3";"374,1";"378,5";"380,7";"7,4";"7,1";"7,0";"3,5";"3,4";"3,1";"2,7";"2,9";"2,9";"8,1";"7,8";"7,6"
"09262000";"Passau";"Oberzentrum";"6";"4";"1";"1";"0";"0";"830";"16,00";"3";"71,0";"30,1";"29,6";"28,8";"332,7";"338,2";"347,5";"8,1";"8,2";"8,1";"4,7";"4,5";"4,4";"2,4";"2,2";"2,1";"5,6";"5,6";"5,5"
"09263000";"Straubing";"Oberzentrum";"2";"0";"1";"1";"0";"0";"450";"10,00";"3";"78,0";"27,6";"26,7";"26,7";"362,8";"374,1";"374,7";"8,8";"8,3";"8,4";"4,9";"4,7";"4,4";"3,4";"3,4";"2,9";"11,0";"12,7";"12,4"
"09271119";"Deggendorf, GKSt";"Oberzentrum";"5";"3";"1";"1";"0";"0";"1.022";"31,00";"3";"54,0";"32,0";"31,4";"30,6";"312,5";"318,3";"327,2";"8,4";"7,3";"7,8";"5,0";"4,3";"4,2";"2,8";"2,7";"2,7";"8,0";"15,7";"7,6"
"09271146";"Plattling, Stadt";"Oberzentrum";"1";"1";"0";"0";"0";"0";"12";"1,00";"1";"69,0";"17,0";"20,8";"20,8";"587,0";"480,0";"479,8";"7,0";"9,3";"8,5";"4,6";"6,2";"6,2";"2,3";"0,0";"0,0";"16,7";"16,8";"16,8"
"09279112";"Dingolfing, Stadt";"Oberzentrum";"2";"0";"1";"1";"0";"0";"125";"6,00";"3";"65,0";"25,1";"24,9";"25,1";"398,9";"402,3";"398,0";"8,9";"8,8";"8,7";"6,8";"6,7";"6,7";"1,6";"1,6";"1,5";"11,8";"11,7";"11,6"
"09361000";"Amberg";"Oberzentrum";"4";"1";"1";"1";"1";"0";"588";"14,00";"4";"77,0";"26,8";"26,9";"27,7";"373,8";"371,5";"361,1";"8,8";"8,7";"8,8";"6,2";"6,4";"6,2";"3,1";"3,1";"3,1";"13,8";"13,5";"13,5"
"09362000";"Regensburg";"Oberzentrum";"9";"1";"4";"2";"1";"1";"2.744";"18,00";"5";"91,0";"25,4";"25,2";"24,9";"393,1";"397,4";"401,3";"7,2";"7,3";"7,2";"4,7";"4,7";"4,8";"2,6";"2,5";"2,5";"8,7";"8,4";"8,2"
"09363000";"Weiden i.d.OPf.";"Oberzentrum";"5";"1";"1";"1";"1";"1";"649";"15,00";"5";"73,0";"30,9";"29,7";"30,1";"323,5";"337,3";"332,4";"8,3";"8,0";"7,8";"4,3";"4,0";"3,8";"3,3";"3,3";"3,3";"6,0";"5,9";"5,9"
"09372116";"Cham, Stadt";"Oberzentrum";"3";"3";"0";"0";"0";"0";"250";"15,00";"1";"30,0";"33,9";"36,5";"35,7";"295,2";"273,8";"279,9";"8,5";"8,4";"7,7";"5,4";"5,4";"4,8";"1,8";"1,8";"1,8";"14,1";"14,2";"14,1"
"09373147";"Neumarkt i.d.OPf., GKSt";"Oberzentrum";"2";"0";"1";"1";"0";"0";"500";"13,00";"3";"48,0";"23,6";"23,0";"23,1";"422,9";"434,9";"432,8";"6,1";"6,1";"6,3";"2,8";"2,8";"3,0";"2,3";"2,3";"2,0";"6,1";"6,1";"6,1"
"09377158";"Waldsassen, Stadt";"Oberzentrum";"1";"0";"1";"0";"0";"0";"45";"7,00";"2";"58,0";"19,3";"20,7";"22,2";"518,5";"483,4";"450,0";"4,5";"4,4";"8,9";"4,5";"4,4";"4,4";"4,5";"4,4";"4,4";"38,7";"36,8";"36,3"
"09461000";"Bamberg";"Oberzentrum";"7";"3";"1";"1";"1";"1";"1.013";"13,00";"5";"94,0";"28,8";"28,0";"27,3";"347,5";"357,3";"365,8";"8,2";"7,8";"7,5";"5,0";"4,8";"4,4";"2,0";"2,4";"2,5";"13,0";"10,0";"9,5"
"09462000";"Bayreuth";"Oberzentrum";"4";"2";"1";"1";"0";"0";"1.365";"19,00";"3";"84,0";"28,4";"27,6";"27,3";"351,9";"361,7";"366,3";"8,6";"8,5";"8,1";"5,3";"5,2";"4,9";"2,4";"2,3";"2,4";"12,1";"13,2";"14,1"
"09463000";"Coburg";"Oberzentrum";"5";"2";"1";"1";"1";"0";"546";"13,00";"4";"71,0";"23,0";"23,6";"24,0";"434,3";"423,4";"416,5";"4,8";"5,1";"5,3";"2,2";"2,2";"2,7";"2,4";"2,7";"2,7";"6,4";"6,4";"6,3"
"09464000";"Hof";"Oberzentrum";"2";"1";"1";"0";"0";"0";"465";"10,00";"2";"76,0";"24,0";"24,1";"23,5";"417,4";"414,5";"425,5";"9,4";"9,3";"9,1";"6,0";"6,0";"5,7";"2,0";"2,0";"2,0";"5,7";"5,5";"5,1"
"09474126";"Forchheim, GKSt";"Oberzentrum";"2";"0";"1";"1";"0";"0";"225";"7,00";"3";"73,0";"25,6";"25,4";"25,2";"390,8";"394,3";"396,6";"6,6";"6,6";"6,8";"4,7";"4,4";"4,4";"2,8";"2,8";"2,8";"7,0";"6,8";"6,8"
"09477128";"Kulmbach, GKSt";"Oberzentrum";"2";"0";"1";"1";"0";"0";"450";"17,00";"3";"47,0";"25,8";"25,5";"26,2";"387,1";"391,7";"382,4";"7,3";"7,3";"7,3";"3,9";"3,9";"3,8";"2,3";"2,3";"2,3";"10,1";"10,2";"10,1"
"09479136";"Marktredwitz, GKSt";"Oberzentrum";"2";"0";"1";"1";"0";"0";"263";"15,00";"3";"69,0";"27,4";"26,1";"26,6";"364,5";"383,6";"375,7";"7,6";"6,4";"6,4";"4,1";"3,5";"1,7";"5,3";"4,6";"5,2";"15,7";"15,1";"14,5"
"09479152";"Selb, GKSt";"Oberzentrum";"1";"0";"1";"0";"0";"0";"145";"10,00";"2";"38,0";"10,0";"10,7";"10,6";"995,2";"937,4";"944,4";"4,0";"4,7";"4,6";"2,0";"2,0";"2,0";"2,0";"2,0";"2,0";"19,4";"18,8";"17,9"
"09479169";"Wunsiedel, Stadt";"Oberzentrum";"0";"0";"0";"0";"0";"0";"0";"0,00";"0";"65,0";"16,3";"13,1";"13,1";"613,5";"764,3";"762,7";"8,7";"3,3";"3,3";"3,3";"3,3";"3,3";"3,3";"3,3";"3,3";"0,0";"0,0";"0,0"
"09561000";"Ansbach";"Oberzentrum";"4";"2";"1";"1";"0";"0";"923";"22,00";"3";"70,0";"27,5";"28,7";"27,6";"364,2";"349,0";"362,2";"7,0";"7,2";"6,5";"4,6";"4,6";"4,1";"2,9";"2,9";"2,9";"5,7";"5,5";"5,4"
"09562000";"Erlangen";"Oberzentrum";"6";"1";"2";"1";"1";"1";"2.186";"20,00";"5";"94,0";"22,2";"21,6";"21,3";"451,4";"463,2";"470,3";"7,1";"7,0";"7,0";"4,5";"4,4";"4,5";"2,0";"2,2";"2,0";"10,6";"10,2";"10,2"
"09563000";"Fürth";"Oberzentrum";"4";"1";"1";"1";"1";"0";"768";"6,00";"4";"89,0";"17,8";"17,8";"17,9";"561,9";"562,3";"559,8";"6,5";"6,5";"6,6";"3,5";"3,3";"3,4";"1,0";"1,1";"1,2";"6,7";"6,6";"6,4"
"09564000";"Nürnberg";"Oberzentrum";"21";"14";"5";"2";"0";"0";"3.534";"7,00";"3";"95,0";"19,3";"19,3";"19,1";"519,3";"518,9";"523,6";"7,0";"7,0";"7,0";"4,5";"4,4";"4,3";"1,7";"1,7";"1,6";"6,4";"6,4";"6,4"
"09565000";"Schwabach";"Oberzentrum";"1";"0";"1";"0";"0";"0";"170";"4,00";"2";"78,0";"17,6";"17,7";"17,4";"569,4";"565,4";"574,4";"7,2";"7,6";"7,6";"4,9";"5,4";"5,4";"2,0";"2,0";"2,0";"5,5";"5,4";"5,3"
"09661000";"Aschaffenburg";"Oberzentrum";"6";"3";"1";"1";"1";"0";"859";"12,00";"4";"80,0";"28,0";"27,5";"27,7";"357,4";"364,1";"360,5";"6,5";"6,2";"6,6";"4,2";"4,0";"3,9";"2,8";"2,7";"2,9";"9,0";"8,8";"7,6"
"09662000";"Schweinfurt";"Oberzentrum";"6";"1";"2";"2";"1";"0";"984";"19,00";"4";"99,0";"28,9";"28,6";"28,3";"346,5";"349,2";"353,9";"6,9";"6,6";"6,5";"3,8";"3,6";"3,7";"3,3";"3,6";"3,4";"4,6";"8,8";"4,2"
"09663000";"Würzburg";"Oberzentrum";"14";"6";"4";"2";"1";"1";"2.404";"19,00";"5";"91,0";"30,8";"30,5";"30,5";"324,3";"328,2";"328,1";"8,4";"8,3";"8,4";"5,2";"5,2";"5,3";"2,6";"2,6";"2,6";"11,8";"11,5";"11,3"
"09672114";"Bad Kissingen, GKSt";"Oberzentrum";"6";"5";"1";"0";"0";"0";"705";"32,00";"2";"67,0";"28,6";"28,3";"26,5";"349,9";"352,9";"377,0";"6,5";"6,9";"6,7";"4,1";"4,6";"4,5";"4,1";"4,1";"4,0";"12,2";"12,0";"11,6"
"09673114";"Bad Neustadt a.d.Saale, Stadt";"Oberzentrum";"6";"4";"1";"1";"0";"0";"1.014";"66,00";"3";"88,0";"37,6";"39,1";"41,6";"265,9";"255,6";"240,1";"8,6";"8,5";"8,5";"6,6";"6,5";"6,5";"4,6";"5,2";"5,9";"15,3";"14,8";"14,5"
"09761000";"Augsburg";"Oberzentrum";"12";"6";"3";"1";"1";"1";"4.653";"16,00";"5";"95,0";"19,9";"19,4";"19,7";"503,3";"515,3";"508,4";"6,5";"6,1";"6,2";"3,8";"3,8";"3,7";"2,0";"2,0";"2,0";"7,3";"7,1";"6,9"
"09762000";"Kaufbeuren";"Oberzentrum";"3";"1";"1";"1";"0";"0";"649";"15,00";"3";"83,0";"26,4";"26,7";"26,2";"378,2";"375,1";"381,4";"9,4";"9,5";"9,0";"5,6";"6,3";"6,2";"2,3";"2,8";"3,0";"12,5";"12,2";"5,1"
"09763000";"Kempten (Allgäu)";"Oberzentrum";"4";"1";"1";"1";"1";"0";"600";"9,00";"4";"86,0";"24,2";"24,0";"24,3";"413,3";"416,8";"411,6";"7,8";"7,4";"7,6";"4,3";"4,4";"4,4";"2,8";"2,8";"2,8";"9,5";"9,3";"9,1"
"09764000";"Memmingen";"Oberzentrum";"4";"1";"1";"1";"1";"0";"552";"13,00";"4";"85,0";"24,5";"24,0";"24,4";"408,0";"416,3";"410,1";"6,8";"6,7";"6,9";"3,7";"3,7";"3,9";"2,1";"2,3";"2,3";"10,4";"10,1";"10,1"
"09773125";"Dillingen a.d.Donau, GKSt";"Oberzentrum";"2";"0";"1";"1";"0";"0";"200";"11,00";"3";"46,0";"25,3";"24,3";"25,1";"394,6";"412,0";"397,9";"8,1";"7,0";"8,0";"5,4";"4,9";"5,3";"1,6";"1,6";"1,6";"11,5";"11,7";"0,0"
"09773144";"Lauingen (Donau), Stadt";"Oberzentrum";"0";"0";"0";"0";"0";"0";"0";"0,00";"0";"57,0";"11,1";"11,0";"11,9";"897,8";"905,8";"840,2";"8,4";"8,3";"8,2";"8,4";"8,3";"8,2";"0,0";"0,0";"0,0";"21,8";"21,4";"21,0"
"09774135";"Günzburg, GKSt";"Oberzentrum";"3";"1";"1";"1";"0";"0";"662";"33,00";"3";"77,0";"33,9";"34,5";"34,4";"294,7";"289,8";"290,8";"10,0";"9,4";"9,3";"7,0";"6,4";"6,4";"1,5";"3,5";"3,4";"11,4";"11,2";"11,1"
"09774155";"Leipheim, Stadt";"Oberzentrum";"0";"0";"0";"0";"0";"0";"0";"0,00";"0";"77,0";"8,7";"8,6";"8,4";"1.154,3";"1.167,8";"1.187,3";"8,7";"8,6";"8,4";"4,3";"4,3";"4,2";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"09775135";"Neu-Ulm, GKSt";"Oberzentrum";"1";"1";"0";"0";"0";"0";"0";"0,00";"1";"83,0";"20,1";"20,0";"19,6";"497,7";"499,8";"510,9";"6,8";"6,8";"6,6";"4,7";"4,4";"4,0";"1,4";"1,6";"1,6";"3,8";"3,7";"3,6"
"09776116";"Lindau (Bodensee), GKSt";"Oberzentrum";"4";"2";"1";"1";"0";"0";"113";"4,00";"3";"81,0";"25,5";"25,7";"25,3";"392,7";"388,4";"394,6";"11,1";"11,1";"11,1";"6,8";"6,3";"6,3";"2,8";"3,2";"2,8";"9,4";"9,5";"9,4"
"09779131";"Donauwörth, GKSt";"Oberzentrum";"3";"1";"1";"1";"0";"0";"295";"15,00";"3";"62,0";"27,9";"25,8";"26,2";"358,0";"387,2";"381,9";"7,4";"7,1";"7,1";"3,7";"3,0";"3,0";"1,6";"1,5";"1,5";"11,6";"11,1";"11,0"
"09779194";"Nördlingen, GKSt";"Oberzentrum";"2";"0";"1";"1";"0";"0";"180";"9,00";"3";"46,0";"20,7";"21,0";"22,2";"483,9";"476,3";"449,7";"7,1";"7,5";"7,9";"6,0";"6,5";"6,4";"1,5";"1,5";"1,5";"11,0";"10,9";"10,8"
"09780124";"Immenstadt i.Allgäu, Stadt";"Oberzentrum";"2";"0";"1";"1";"0";"0";"166";"12,00";"3";"57,0";"32,4";"33,1";"31,7";"308,5";"302,3";"315,8";"7,0";"7,0";"7,0";"7,0";"6,3";"6,3";"5,6";"5,6";"5,6";"16,4";"16,7";"16,4"
"09780139";"Sonthofen, Stadt";"Oberzentrum";"1";"1";"0";"0";"0";"0";"35";"2,00";"1";"68,0";"20,2";"20,4";"19,5";"495,3";"489,3";"512,4";"8,5";"8,8";"8,4";"5,6";"5,6";"5,6";"1,4";"1,4";"1,4";"12,1";"11,8";"11,8"
"10041100";"Saarbrücken, Landeshauptstadt";"Oberzentrum";"10";"2";"5";"2";"1";"0";"1.555";"9,00";"4";"88,0";"22,5";"22,3";"22,0";"444,3";"448,2";"454,7";"6,6";"6,6";"6,6";"3,7";"3,6";"3,6";"2,5";"2,2";"2,3";"8,2";"7,9";"7,3"
"11000000";"Berlin, Stadt";"Oberzentrum";"107";"48";"39";"12";"5";"3";"27.016";"8,00";"5";"94,0";"18,6";"18,3";"17,9";"536,6";"545,9";"560,1";"6,7";"6,5";"6,4";"3,7";"3,6";"3,5";"1,1";"1,1";"1,1";"6,5";"6,3";"6,0"
"12051000";"Brandenburg an der Havel, Stadt";"Oberzentrum";"6";"4";"1";"1";"0";"0";"990";"14,00";"3";"75,0";"18,4";"18,8";"19,2";"542,2";"530,8";"520,9";"6,3";"6,4";"6,7";"3,9";"3,9";"4,0";"2,0";"2,0";"1,9";"11,2";"10,9";"10,6"
"12052000";"Cottbus, Stadt";"Oberzentrum";"6";"2";"1";"1";"1";"1";"1.246";"12,00";"5";"76,0";"22,9";"22,9";"22,8";"437,2";"436,6";"439,3";"7,4";"7,5";"7,4";"4,9";"4,7";"4,4";"2,6";"2,7";"2,8";"11,7";"10,2";"9,8"
"12053000";"Frankfurt (Oder), Stadt";"Oberzentrum";"5";"1";"1";"1";"1";"1";"853";"15,00";"5";"82,0";"21,7";"22,9";"22,8";"461,0";"437,5";"437,9";"7,9";"8,1";"8,1";"4,8";"4,6";"4,5";"2,2";"2,4";"2,4";"10,7";"10,3";"10,0"
"12054000";"Potsdam, Stadt";"Oberzentrum";"8";"5";"2";"1";"0";"0";"1.681";"10,00";"3";"79,0";"20,3";"20,1";"19,7";"493,4";"498,0";"507,8";"6,5";"6,5";"6,3";"4,2";"4,1";"4,0";"1,9";"1,9";"1,8";"6,9";"7,1";"7,2"
"13003000";"Rostock, Hansestadt";"Oberzentrum";"12";"10";"2";"0";"0";"0";"1.710";"8,00";"2";"88,0";"21,5";"21,4";"21,4";"466,1";"466,3";"468,3";"6,8";"6,7";"6,7";"4,6";"4,5";"4,5";"1,8";"1,9";"1,9";"11,7";"11,9";"11,6"
"13004000";"Schwerin, Landeshauptstadt";"Oberzentrum";"5";"1";"1";"1";"1";"1";"1.568";"16,00";"5";"80,0";"22,0";"21,8";"22,1";"454,5";"457,7";"451,9";"7,6";"7,5";"7,4";"5,3";"5,4";"5,3";"2,7";"2,6";"2,9";"10,4";"10,5";"10,3"
"13071107";"Neubrandenburg, Stadt";"Oberzentrum";"4";"1";"1";"1";"1";"0";"848";"13,00";"4";"85,0";"22,6";"22,1";"22,1";"441,7";"452,4";"452,5";"7,9";"7,7";"7,6";"5,5";"5,3";"5,3";"2,4";"2,4";"2,5";"8,0";"7,8";"7,5"
"13073088";"Stralsund, Hansestadt";"Oberzentrum";"7";"4";"1";"1";"1";"0";"732";"12,00";"4";"92,0";"21,4";"20,5";"20,7";"468,1";"488,4";"483,9";"6,7";"6,4";"6,4";"3,6";"3,6";"3,5";"1,6";"1,5";"1,7";"10,2";"9,7";"9,4"
"13075039";"Greifswald, Hansestadt";"Oberzentrum";"10";"6";"1";"1";"1";"1";"1.237";"21,00";"5";"87,0";"25,5";"25,5";"24,6";"392,4";"391,8";"406,1";"7,5";"7,4";"7,1";"4,4";"4,3";"4,2";"2,4";"2,6";"2,5";"10,5";"10,1";"9,8"
"14511000";"Chemnitz, Stadt";"Oberzentrum";"6";"0";"3";"1";"1";"1";"2.278";"9,00";"5";"85,0";"17,4";"17,8";"17,7";"574,2";"561,2";"566,2";"6,3";"6,4";"6,2";"4,2";"4,2";"4,1";"1,8";"1,8";"1,8";"7,3";"7,3";"7,1"
"14523320";"Plauen, Stadt";"Oberzentrum";"4";"1";"1";"1";"1";"0";"703";"11,00";"4";"81,0";"18,4";"18,9";"18,4";"543,3";"528,9";"542,9";"6,7";"6,8";"6,8";"5,1";"5,1";"5,1";"1,4";"1,4";"1,4";"9,1";"8,9";"8,7"
"14524330";"Zwickau, Stadt";"Oberzentrum";"4";"0";"2";"1";"1";"0";"966";"11,00";"4";"81,0";"20,2";"20,4";"20,7";"495,2";"489,3";"482,3";"5,8";"6,2";"6,2";"4,1";"4,2";"4,1";"2,0";"1,9";"2,0";"2,9";"2,9";"2,8"
"14612000";"Dresden, Stadt";"Oberzentrum";"12";"3";"4";"3";"1";"1";"3.705";"7,00";"5";"87,0";"17,9";"17,9";"17,9";"558,3";"559,5";"558,3";"6,3";"6,4";"6,5";"3,5";"3,6";"3,6";"1,4";"1,4";"1,3";"7,5";"7,4";"7,1"
"14625020";"Bautzen, Stadt";"Oberzentrum";"2";"0";"1";"1";"0";"0";"415";"10,00";"3";"84,0";"24,1";"24,0";"24,6";"415,1";"416,3";"406,5";"8,8";"8,5";"8,6";"5,5";"5,3";"5,3";"1,5";"1,5";"1,5";"6,0";"5,8";"5,8"
"14625240";"Hoyerswerda, Stadt";"Oberzentrum";"3";"0";"1";"1";"1";"0";"440";"13,00";"4";"82,0";"21,3";"20,9";"21,4";"470,0";"479,3";"466,4";"7,1";"6,9";"6,9";"5,6";"5,4";"5,4";"2,4";"2,4";"2,4";"9,4";"9,2";"9,3"
"14626110";"Görlitz, Stadt";"Oberzentrum";"4";"0";"2";"1";"1";"0";"670";"12,00";"4";"84,0";"16,8";"17,0";"16,7";"594,1";"588,5";"599,9";"6,7";"6,8";"6,2";"3,8";"3,8";"3,7";"1,3";"1,3";"1,1";"8,5";"9,6";"9,3"
"14713000";"Leipzig, Stadt";"Oberzentrum";"12";"1";"5";"3";"2";"1";"4.153";"7,00";"5";"93,0";"17,7";"17,7";"17,5";"563,9";"564,3";"572,3";"6,5";"6,5";"6,4";"4,3";"4,3";"4,3";"1,1";"1,1";"1,1";"7,3";"7,0";"6,7"
"15001000";"Dessau-Roßlau, Stadt";"Oberzentrum";"7";"2";"2";"1";"1";"1";"1.017";"12,00";"5";"78,0";"18,7";"19,6";"19,9";"535,0";"509,3";"503,7";"5,7";"6,2";"6,1";"3,5";"3,6";"3,5";"1,9";"1,9";"2,1";"6,9";"7,8";"7,7"
"15002000";"Halle (Saale), Stadt";"Oberzentrum";"13";"1";"6";"2";"2";"2";"3.982";"17,00";"5";"93,0";"21,2";"21,2";"20,9";"472,1";"472,2";"478,3";"6,7";"6,6";"6,6";"4,3";"4,4";"4,5";"2,0";"1,9";"2,0";"10,8";"10,5";"10,2"
"15003000";"Magdeburg, Landeshauptstadt";"Oberzentrum";"9";"3";"3";"1";"1";"1";"2.405";"10,00";"5";"89,0";"19,3";"19,2";"19,1";"519,2";"519,9";"523,0";"6,5";"6,4";"6,5";"3,6";"3,5";"3,6";"1,9";"2,0";"2,0";"6,8";"7,1";"7,3"
"16051000";"Erfurt, Stadt";"Oberzentrum";"6";"0";"2";"2";"1";"1";"1.726";"8,00";"5";"82,0";"19,1";"19,7";"19,8";"522,7";"508,7";"505,9";"6,6";"7,1";"7,3";"4,0";"4,2";"4,2";"1,9";"1,6";"1,5";"8,9";"8,7";"8,5"
"16052000";"Gera, Stadt";"Oberzentrum";"2";"1";"1";"0";"0";"0";"986";"10,00";"2";"83,0";"22,7";"23,0";"23,3";"440,4";"434,6";"429,2";"7,2";"7,4";"7,1";"5,6";"5,7";"5,4";"2,5";"2,4";"2,5";"9,1";"10,1";"9,7"
"16053000";"Jena, Stadt";"Oberzentrum";"4";"0";"1";"1";"1";"1";"1.396";"13,00";"5";"85,0";"21,2";"20,8";"20,5";"472,1";"479,7";"487,3";"6,5";"6,4";"6,4";"4,1";"4,2";"4,1";"1,5";"1,1";"1,1";"7,1";"6,9";"6,8"
