Kennziffer;Raumeinheit;Aggregat;Krankenhäuser insgesamt;Anzahl Krankenhäuser unter Grundversorgung;Anzahl Krankenhäuser mit Grundversorgung ;Anzahl Krankenhäuser mit Regelversorgung ;Anzahl Krankenhäuser mit Schwerpunktversorgung ;Anzahl Krankenhäuser mit Maximalversorgung ;Krankenhausbetten;Krankenhausbetten je 1000 Einwohner;Krankenhäuser – höchste Versorgungsstufe;Erreichbarkeit Apotheken;Ärzte je  Einwohner;Ärzte je  Einwohner;Ärzte je  Einwohner;Einwohner je Arzt;Einwohner je Arzt;Einwohner je Arzt;Hausärzte;Hausärzte;Hausärzte;Allgemeinärzte;Allgemeinärzte;Allgemeinärzte;Internisten;Internisten;Internisten;Kinderärzte;Kinderärzte;Kinderärzte
;;;2016;2016;2016;2016;2016;2016;2016;2016;2016;2017;2015;2016;2017;2015;2016;2017;2015;2016;2017;2015;2016;2017;2015;2016;2017;2015;2016;2017
"04012000";"Bremerhaven, Stadt";"Oberzentrum";"5";"2";"2";"1";"0";"0";"1.097";"10,00";"3";"89,0";"18,8";"18,7";"19,3";"532,8";"535,7";"518,5";"5,4";"5,7";"5,9";"3,1";"3,1";"3,5";"1,8";"1,9";"1,9";"6,8";"6,9";"6,7"
"05111000";"Düsseldorf, Stadt";"Oberzentrum";"25";"8";"10";"5";"1";"1";"5.440";"9,00";"5";"93,0";"18,9";"18,7";"18,6";"529,6";"533,7";"538,2";"6,5";"6,5";"6,4";"2,7";"2,7";"2,7";"1,1";"1,1";"1,1";"5,8";"5,7";"5,5"
"05112000";"Duisburg, Stadt";"Oberzentrum";"16";"6";"7";"3";"0";"0";"3.968";"8,00";"3";"91,0";"12,6";"12,3";"12,2";"791,0";"814,1";"816,6";"5,4";"5,2";"5,2";"2,2";"2,1";"2,2";"0,7";"0,7";"0,7";"4,5";"4,3";"4,3"
"05113000";"Essen, Stadt";"Oberzentrum";"23";"7";"11";"3";"1";"1";"6.344";"11,00";"5";"92,0";"14,3";"14,2";"14,1";"699,4";"703,4";"707,1";"5,8";"5,6";"5,6";"2,4";"2,3";"2,2";"0,7";"0,8";"0,7";"5,5";"5,2";"5,1"
"05114000";"Krefeld, Stadt";"Oberzentrum";"10";"2";"4";"2";"1";"1";"2.099";"9,00";"5";"84,0";"19,6";"19,0";"19,1";"509,4";"526,2";"522,3";"7,2";"7,0";"7,2";"3,3";"3,1";"3,2";"1,3";"1,3";"1,3";"7,4";"7,2";"7,2"
"05116000";"Mönchengladbach, Stadt";"Oberzentrum";"9";"3";"3";"3";"0";"0";"2.170";"8,00";"3";"82,0";"19,3";"19,1";"19,0";"517,9";"523,9";"526,5";"6,6";"6,5";"6,4";"3,0";"3,1";"3,0";"1,6";"1,5";"1,6";"6,4";"6,3";"6,2"
"05124000";"Wuppertal, Stadt";"Oberzentrum";"15";"8";"3";"2";"1";"1";"2.106";"6,00";"5";"82,0";"17,4";"17,3";"17,1";"573,8";"576,7";"583,5";"6,2";"6,2";"6,1";"3,0";"3,1";"3,2";"1,3";"1,3";"1,3";"6,1";"5,9";"5,8"
"05314000";"Bonn, Stadt";"Oberzentrum";"19";"5";"8";"4";"1";"1";"4.150";"13,00";"5";"95,0";"23,4";"23,2";"22,8";"426,8";"431,2";"438,1";"7,0";"6,9";"6,6";"3,1";"3,2";"3,1";"1,9";"1,9";"1,8";"5,9";"6,0";"6,3"
"05315000";"Köln, Stadt";"Oberzentrum";"33";"8";"16";"7";"1";"1";"7.761";"7,00";"5";"93,0";"18,2";"17,9";"17,7";"549,5";"558,9";"565,1";"6,6";"6,4";"6,3";"3,2";"3,1";"3,0";"1,0";"1,1";"1,1";"6,1";"5,9";"5,9"
"05334002";"Aachen, Stadt";"Oberzentrum";"10";"1";"4";"3";"1";"1";"2.557";"10,00";"5";"90,0";"21,7";"21,7";"21,6";"461,3";"460,4";"462,0";"7,3";"7,4";"7,2";"3,6";"3,7";"3,8";"1,2";"1,1";"1,2";"9,2";"9,2";"9,2"
"05515000";"Münster, Stadt";"Oberzentrum";"14";"3";"6";"3";"1";"1";"3.926";"13,00";"5";"91,0";"19,9";"19,9";"19,6";"503,3";"501,4";"509,9";"6,6";"6,5";"6,3";"3,9";"3,9";"3,8";"1,6";"1,7";"1,6";"8,3";"8,5";"8,4"
