Kennziffer;Raumeinheit;Aggregat;Hochschulen;Studierende Hochschulen;Studierende an Hochschulen je 1000 Einwohner;Studierende an Fachhoschulen je 1000 Einwohner;Allgemeinbildende Schulen;Schüler an allgemeinbildenden Schulen;Schüler an allgemeinbildenden Schulen je 1000 Einwohner;Grundschulen;Schüler an Grundschulen;Schüler an Grundschulen je 1000 Einwohner;Weiterführende Schulen;Schüler an weiterführenden Schulen;Schüler in weiterführenden Schulen je 1000 Einwohner;Berufsbildende Schulen;Schüler an berufsbildenden Schulen;Schüler an berufsbildenden Schulen je 1000 Einwohner;Bibliotheken;Öffentliche Bibliotheken;Wissenschaftliche Bibliotheken;Spezialbibliotheken;Bibliotheksentleihungen;Kinos;Kinosäle;Kinositzplätze
"09464000";"Hof";"Oberzentrum";"2";"4.939";"107,49";"64,00";"19";"5.878";"127";"8,0";"1.235";"26,0";"8";"4.035";"87,0";"13,0";"4.765";"104";"3,0";"1";"1";"1";"291.212";"2";"10";"1.683"
"09474126";"Forchheim, GKSt";"Oberzentrum";"0";"0";"0,00";"0,00";"12";"4.085";"127";"5,0";"983";"30,0";"4";"2.474";"77,0";"8,0";"1.709";"53";"3,0";"3";"0";"0";"224.198";"1";"3";"817"
"09477128";"Kulmbach, GKSt";"Oberzentrum";"0";"0";"0,00";"0,00";"13";"4.164";"160";"7,0";"817";"31,0";"5";"3.133";"120,0";"9,0";"2.544";"98";"3,0";"2";"0";"1";"194.418";"1";"4";"390"
"09479136";"Marktredwitz, GKSt";"Oberzentrum";"0";"0";"0,00";"0,00";"7";"2.438";"141";"2,0";"474";"27,0";"3";"1.798";"104,0";"8,0";"1.659";"96";"1,0";"1";"0";"0";"89.884";"1";"5";"823"
"09479152";"Selb, GKSt";"Oberzentrum";"0";"0";"0,00";"0,00";"7";"2.073";"137";"3,0";"358";"23,0";"3";"1.599";"105,0";"5,0";"916";"61";"1,0";"1";"0";"0";"90.694";"0";"0";"0"
"09479169";"Wunsiedel, Stadt";"Oberzentrum";"0";"0";"0,00";"0,00";"4";"1.902";"207";"1,0";"353";"38,0";"3";"1.549";"169,0";"2,0";"169";"18";"2,0";"2";"0";"0";"52.699";"0";"0";"0"
"09561000";"Ansbach";"Oberzentrum";"1";"2.902";"69,67";"69,00";"18";"5.871";"140";"10,0";"1.393";"33,0";"7";"4.259";"102,0";"19,0";"5.784";"139";"5,0";"3";"2";"0";"165.582";"3";"8";"1.579"
"09562000";"Erlangen";"Oberzentrum";"1";"29.025";"261,49";"0,00";"33";"12.727";"114";"16,0";"3.514";"31,0";"13";"8.202";"73,0";"28,0";"6.181";"56";"9,0";"7";"1";"1";"1.751.424";"3";"14";"2.153"
"09563000";"Fürth";"Oberzentrum";"1";"146";"1,15";"1,00";"32";"11.432";"90";"16,0";"3.813";"30,0";"13";"6.902";"54,0";"20,0";"6.315";"50";"2,0";"2";"0";"0";"549.988";"3";"9";"196"
"09564000";"Nürnberg";"Oberzentrum";"6";"26.007";"50,48";"30,00";"131";"47.949";"93";"54,0";"15.661";"30,0";"59";"27.668";"53,0";"95,0";"28.094";"55";"26,0";"17";"3";"6";"2.254.131";"8";"40";"2.266"
"09565000";"Schwabach";"Oberzentrum";"0";"0";"0,00";"0,00";"11";"5.124";"125";"4,0";"1.305";"32,0";"5";"3.492";"85,0";"7,0";"1.241";"30";"2,0";"2";"0";"0";"122.255";"2";"4";"266"
"09661000";"Aschaffenburg";"Oberzentrum";"1";"3.296";"47,13";"47,00";"30";"9.143";"130";"13,0";"2.132";"30,0";"14";"6.588";"94,0";"31,0";"7.529";"108";"14,0";"11";"2";"1";"529.432";"2";"9";"1.790"
"09662000";"Schweinfurt";"Oberzentrum";"1";"2.758";"51,61";"51,00";"27";"8.688";"162";"9,0";"1.699";"31,0";"13";"6.339";"118,0";"22,0";"6.878";"129";"3,0";"2";"0";"1";"249.424";"3";"15";"993"
"09663000";"Würzburg";"Oberzentrum";"3";"34.758";"274,47";"49,00";"48";"15.943";"125";"14,0";"2.893";"22,0";"20";"10.427";"82,0";"60,0";"12.454";"98";"18,0";"14";"3";"1";"1.745.697";"3";"10";"2.011"
"09672114";"Bad Kissingen, GKSt";"Oberzentrum";"0";"0";"0,00";"0,00";"9";"3.100";"139";"3,0";"616";"27,0";"4";"2.151";"96,0";"5,0";"1.710";"77";"5,0";"5";"0";"0";"111.932";"1";"3";"471"
"09673114";"Bad Neustadt a.d.Saale, Stadt";"Oberzentrum";"0";"0";"0,00";"0,00";"6";"2.463";"160";"3,0";"499";"32,0";"3";"1.964";"127,0";"11,0";"2.700";"176";"4,0";"4";"0";"0";"225.237";"0";"0";"0"
"09761000";"Augsburg";"Oberzentrum";"3";"26.618";"90,89";"22,00";"76";"28.139";"96";"32,0";"8.665";"29,0";"34";"17.359";"59,0";"52,0";"17.886";"61";"24,0";"18";"3";"3";"1.789.215";"5";"17";"3.389"
"09762000";"Kaufbeuren";"Oberzentrum";"1";"412";"9,48";"0,00";"16";"5.761";"132";"7,0";"1.386";"31,0";"7";"4.021";"92,0";"13,0";"3.456";"79";"1,0";"1";"0";"0";"232.600";"2";"10";"1.704"
"09763000";"Kempten (Allgäu)";"Oberzentrum";"1";"5.989";"87,65";"87,00";"26";"8.839";"129";"10,0";"2.177";"31,0";"10";"5.911";"86,0";"27,0";"7.759";"114";"4,0";"3";"1";"0";"727.313";"1";"7";"1.218"
"09764000";"Memmingen";"Oberzentrum";"0";"0";"0,00";"0,00";"15";"5.537";"127";"6,0";"1.441";"33,0";"7";"3.756";"86,0";"17,0";"4.835";"111";"3,0";"2";"1";"0";"368.036";"2";"11";"1.261"
"09773125";"Dillingen a.d.Donau, GKSt";"Oberzentrum";"0";"0";"0,00";"0,00";"7";"3.227";"172";"1,0";"610";"32,0";"4";"2.244";"120,0";"2,0";"145";"8";"3,0";"2";"1";"0";"113.260";"1";"4";"570"
"09773144";"Lauingen (Donau), Stadt";"Oberzentrum";"0";"0";"0,00";"0,00";"4";"1.811";"165";"1,0";"314";"28,0";"3";"1.497";"137,0";"2,0";"1.931";"177";"1,0";"1";"0";"0";"30.600";"0";"0";"0"
"09774135";"Günzburg, GKSt";"Oberzentrum";"0";"0";"0,00";"0,00";"11";"3.430";"168";"4,0";"716";"35,0";"6";"2.569";"126,0";"5,0";"2.153";"106";"1,0";"1";"0";"0";"120.371";"1";"4";"670"
"09774155";"Leipheim, Stadt";"Oberzentrum";"0";"0";"0,00";"0,00";"2";"459";"64";"1,0";"236";"33,0";"1";"223";"31,0";"0,0";"0";"0";"1,0";"1";"0";"0";"9.918";"0";"0";"0"
"09775135";"Neu-Ulm, GKSt";"Oberzentrum";"1";"3.872";"67,07";"67,00";"19";"5.866";"101";"9,0";"1.992";"34,0";"8";"3.555";"61,0";"6,0";"3.194";"55";"3,0";"1";"1";"1";"322.121";"1";"11";"2.650"
"09776116";"Lindau (Bodensee), GKSt";"Oberzentrum";"0";"0";"0,00";"0,00";"12";"3.154";"124";"5,0";"770";"30,0";"6";"2.230";"88,0";"5,0";"2.317";"92";"1,0";"1";"0";"0";"133.817";"4";"5";"670"
"09779131";"Donauwörth, GKSt";"Oberzentrum";"0";"0";"0,00";"0,00";"7";"3.240";"163";"3,0";"628";"31,0";"4";"2.612";"131,0";"7,0";"2.949";"149";"2,0";"2";"0";"0";"143.540";"1";"3";"548"
"09779194";"Nördlingen, GKSt";"Oberzentrum";"0";"0";"0,00";"0,00";"8";"2.784";"137";"4,0";"645";"31,0";"3";"1.946";"96,0";"10,0";"1.317";"65";"1,0";"1";"0";"0";"101.250";"2";"6";"1.022"
"09780124";"Immenstadt i.Allgäu, Stadt";"Oberzentrum";"0";"0";"0,00";"0,00";"6";"2.365";"166";"2,0";"453";"31,0";"4";"1.912";"134,0";"7,0";"2.275";"160";"2,0";"2";"0";"0";"85.104";"1";"2";"360"
"09780139";"Sonthofen, Stadt";"Oberzentrum";"0";"0";"0,00";"0,00";"7";"2.653";"123";"2,0";"613";"28,0";"3";"1.740";"80,0";"1,0";"342";"16";"2,0";"2";"0";"0";"95.607";"1";"2";"280"
"10041100";"Saarbrücken, Landeshauptstadt";"Oberzentrum";"6";"31.370";"173,35";"74,00";"55";"18.063";"99";"29,0";"5.666";"31,0";"17";"11.049";"61,0";"24,0";"12.483";"69";"20,0";"10";"5";"5";"1.149.342";"6";"26";"4.444"
"11000000";"Berlin, Stadt";"Oberzentrum";"54";"187.934";"52,01";"16,00";"774";"349.661";"96";"408,0";"117.287";"32,0";"263";"216.139";"59,0";"267,0";"88.653";"25";"101,0";"27";"19";"55";"24.507.836";"83";"266";"50.141"
"12051000";"Brandenburg an der Havel, Stadt";"Oberzentrum";"1";"2.639";"36,71";"36,00";"24";"6.814";"94";"12,0";"3.142";"43,0";"8";"3.262";"45,0";"3,0";"1.958";"27";"7,0";"3";"1";"3";"515.983";"3";"12";"1.478"
"12052000";"Cottbus, Stadt";"Oberzentrum";"1";"6.212";"61,48";"0,00";"30";"10.708";"105";"14,0";"4.162";"41,0";"11";"5.487";"54,0";"4,0";"4.122";"41";"4,0";"2";"1";"1";"561.076";"6";"16";"3.468"
"12053000";"Frankfurt (Oder), Stadt";"Oberzentrum";"1";"6.610";"113,50";"0,00";"19";"6.091";"104";"9,0";"2.546";"43,0";"6";"2.977";"51,0";"1,0";"1.931";"33";"3,0";"2";"1";"0";"87.309";"3";"9";"2.157"
"12054000";"Potsdam, Stadt";"Oberzentrum";"5";"25.233";"143,61";"22,00";"61";"21.860";"124";"31,0";"9.235";"52,0";"21";"10.185";"57,0";"10,0";"5.718";"33";"10,0";"2";"4";"4";"1.566.528";"4";"14";"3.010"
"13003000";"Rostock, Hansestadt";"Oberzentrum";"4";"14.958";"71,77";"3,00";"49";"18.429";"88";"18,0";"5.109";"24,0";"15";"7.750";"37,0";"10,0";"7.601";"36";"6,0";"1";"2";"3";"1.570.648";"5";"15";"3.211"
"13004000";"Schwerin, Landeshauptstadt";"Oberzentrum";"2";"736";"7,68";"7,00";"28";"10.223";"106";"9,0";"2.410";"25,0";"8";"4.677";"48,0";"10,0";"6.261";"65";"3,0";"1";"1";"1";"503.870";"2";"12";"2.499"
"13071107";"Neubrandenburg, Stadt";"Oberzentrum";"1";"2.170";"33,77";"33,00";"22";"7.068";"109";"7,0";"2.006";"31,0";"8";"3.664";"57,0";"4,0";"2.658";"41";"2,0";"1";"1";"0";"438.231";"2";"9";"1.833"
"13073088";"Stralsund, Hansestadt";"Oberzentrum";"1";"2.172";"36,49";"36,00";"17";"5.729";"96";"7,0";"1.906";"32,0";"6";"3.132";"52,0";"3,0";"3.209";"54";"2,0";"1";"1";"0";"330.542";"1";"6";"1.173"
"13075039";"Greifswald, Hansestadt";"Oberzentrum";"1";"10.246";"174,00";"0,00";"17";"5.874";"99";"5,0";"1.412";"23,0";"5";"2.479";"42,0";"5,0";"3.035";"52";"3,0";"1";"1";"1";"671.735";"1";"6";"989"
"14511000";"Chemnitz, Stadt";"Oberzentrum";"1";"10.482";"42,46";"0,00";"92";"19.563";"79";"47,0";"7.389";"29,0";"28";"9.752";"39,0";"69,0";"12.328";"50";"2,0";"1";"1";"0";"2.250.871";"8";"19";"2.953"
"14523320";"Plauen, Stadt";"Oberzentrum";"0";"0";"0,00";"0,00";"25";"5.407";"82";"12,0";"2.043";"31,0";"9";"3.091";"47,0";"22,0";"3.230";"50";"4,0";"3";"1";"0";"313.045";"1";"8";"1.162"
"14524330";"Zwickau, Stadt";"Oberzentrum";"2";"4.006";"44,42";"44,00";"28";"6.572";"72";"12,0";"2.653";"29,0";"10";"3.391";"37,0";"29,0";"3.912";"43";"2,0";"1";"1";"0";"577.516";"2";"8";"1.350"
"14612000";"Dresden, Stadt";"Oberzentrum";"10";"39.172";"71,08";"11,00";"178";"50.871";"92";"82,0";"19.536";"35,0";"67";"27.680";"50,0";"107,0";"21.170";"38";"17,0";"2";"4";"11";"5.153.185";"13";"50";"11.692"
"14625020";"Bautzen, Stadt";"Oberzentrum";"1";"133";"3,37";"0,00";"21";"4.836";"122";"6,0";"1.305";"33,0";"10";"3.034";"76,0";"14,0";"2.394";"61";"4,0";"1";"1";"2";"364.253";"2";"5";"664"
"14625240";"Hoyerswerda, Stadt";"Oberzentrum";"0";"0";"0,00";"0,00";"14";"3.545";"107";"4,0";"943";"28,0";"6";"2.298";"69,0";"9,0";"1.276";"39";"2,0";"1";"0";"1";"280.495";"2";"5";"999"
"14626110";"Görlitz, Stadt";"Oberzentrum";"1";"1.685";"29,88";"29,00";"23";"5.308";"94";"10,0";"1.796";"31,0";"8";"2.973";"52,0";"20,0";"2.400";"43";"2,0";"1";"0";"1";"303.999";"3";"7";"778"
"14713000";"Leipzig, Stadt";"Oberzentrum";"8";"39.097";"67,18";"13,00";"158";"49.000";"84";"76,0";"19.249";"33,0";"53";"25.865";"44,0";"110,0";"18.699";"32";"11,0";"2";"6";"3";"6.122.456";"13";"39";"6.978"
"15001000";"Dessau-Roßlau, Stadt";"Oberzentrum";"1";"1.239";"15,09";"15,00";"26";"6.548";"79";"14,0";"2.431";"29,0";"9";"3.800";"46,0";"3,0";"2.902";"35";"3,0";"1";"0";"2";"340.614";"2";"8";"1.422"
"15002000";"Halle (Saale), Stadt";"Oberzentrum";"3";"21.263";"88,90";"0,00";"74";"22.487";"94";"37,0";"7.976";"33,0";"22";"12.372";"51,0";"16,0";"6.058";"25";"10,0";"1";"3";"6";"1.611.143";"6";"22";"4.274"
"15003000";"Magdeburg, Landeshauptstadt";"Oberzentrum";"2";"17.875";"74,95";"16,00";"70";"20.458";"85";"36,0";"7.275";"30,0";"23";"11.404";"47,0";"18,0";"5.430";"23";"7,0";"2";"2";"3";"1.436.968";"7";"25";"5.915"
"16051000";"Erfurt, Stadt";"Oberzentrum";"2";"9.846";"46,23";"19,00";"69";"19.448";"91";"31,0";"6.670";"31,0";"23";"9.660";"45,0";"19,0";"9.854";"46";"5,0";"1";"2";"2";"1.388.664";"3";"11";"2.260"
"16052000";"Gera, Stadt";"Oberzentrum";"2";"1.829";"19,28";"19,00";"29";"8.030";"84";"12,0";"2.798";"29,0";"11";"4.641";"48,0";"12,0";"4.469";"47";"5,0";"2";"1";"2";"434.291";"3";"11";"1.934"
"16053000";"Jena, Stadt";"Oberzentrum";"2";"21.836";"196,55";"40,00";"31";"10.526";"94";"10,0";"2.620";"23,0";"10";"4.627";"41,0";"5,0";"3.320";"30";"7,0";"3";"2";"2";"1.648.304";"3";"11";"1.560"
