Kennziffer;Raumeinheit;Aggregat;ÖV-Haltestellen;Bahnhaltestellen;Bushaltestellen;U-/Strassenbahnhaltestellen;ÖV-Abfahrten;Bahn-Abfahrten;Bus-Abfahrten;U-/Straßenbahn-Abfahrten;Erreichbarkeit von IC/EC/ICE-Bahnhöfen ;Erreichbarkeit Autobahnen;Erreichbarkeit Flughäfen;Erreichbarkeit KV-Terminal;Erreichbarkeit von Mittelzentren;Erreichbarkeit von Oberzentren
"05970040";"Siegen, Universitätsstadt";"Oberzentrum";"388";"5";"388";"0";"31.426";"459";"30.967";"0";"47,4";"4,0";"56,5";"78,8";"0,0";"0,0"
"06411000";"Darmstadt, Wissenschaftsstadt";"Oberzentrum";"176";"9";"145";"61";"40.129";"917";"21.731";"17.481";"0,0";"3,7";"18,6";"21,5";"0,0";"0,0"
"06412000";"Frankfurt am Main, Stadt";"Oberzentrum";"703";"31";"671";"179";"216.570";"11.291";"126.763";"78.516";"3,0";"4,9";"14,7";"5,2";"0,0";"0,0"
"06413000";"Offenbach am Main, Stadt";"Oberzentrum";"134";"7";"134";"0";"27.217";"2.001";"25.216";"0";"11,6";"5,1";"15,8";"10,4";"0,0";"0,0"
"06414000";"Wiesbaden, Landeshauptstadt";"Oberzentrum";"406";"8";"406";"0";"95.334";"993";"94.341";"0";"0,8";"3,3";"19,6";"14,6";"0,0";"0,0"
"06435014";"Hanau, Brüder-Grimm-Stadt";"Oberzentrum";"169";"8";"169";"0";"25.345";"904";"24.441";"0";"0,0";"5,0";"22,9";"24,2";"0,0";"0,0"
"06531005";"Gießen, Universitätsstadt";"Oberzentrum";"141";"5";"141";"0";"21.351";"458";"20.893";"0";"1,7";"4,2";"48,3";"58,6";"0,0";"0,0"
"06532023";"Wetzlar, Stadt";"Oberzentrum";"112";"2";"112";"0";"10.295";"225";"10.070";"0";"13,9";"2,2";"45,9";"56,9";"0,0";"0,0"
"06534014";"Marburg, Universitätsstadt";"Oberzentrum";"185";"2";"185";"0";"20.360";"207";"20.153";"0";"0,0";"20,6";"67,7";"80,3";"0,0";"0,0"
"06611000";"Kassel, documenta-Stadt";"Oberzentrum";"325";"29";"275";"100";"68.508";"3.359";"36.693";"28.456";"7,6";"6,9";"57,5";"11,8";"0,0";"0,0"
"06631009";"Fulda, Stadt";"Oberzentrum";"183";"1";"183";"0";"15.646";"197";"15.449";"0";"1,3";"5,8";"71,5";"50,1";"0,0";"0,0"
"07111000";"Koblenz, Stadt";"Oberzentrum";"241";"6";"241";"0";"27.356";"714";"26.642";"0";"0,0";"4,5";"60,1";"8,0";"0,0";"0,0"
"07211000";"Trier, Stadt";"Oberzentrum";"255";"7";"254";"0";"37.447";"682";"36.765";"0";"2,0";"5,6";"29,6";"12,2";"0,0";"0,0"
"07312000";"Kaiserslautern, Stadt";"Oberzentrum";"258";"8";"258";"0";"26.047";"481";"25.566";"0";"2,4";"5,1";"45,6";"47,7";"0,0";"0,0"
"07314000";"Ludwigshafen am Rhein, Stadt";"Oberzentrum";"189";"8";"172";"52";"35.150";"1.090";"23.591";"10.469";"4,0";"2,1";"50,5";"6,8";"0,0";"0,0"
"07315000";"Mainz, Stadt";"Oberzentrum";"245";"8";"227";"59";"59.580";"1.103";"42.051";"16.426";"0,0";"5,6";"22,9";"7,8";"0,0";"0,0"
"08111000";"Stuttgart, Landeshauptstadt";"Oberzentrum";"501";"24";"408";"179";"149.314";"7.341";"69.725";"72.248";"0,0";"13,0";"15,5";"10,7";"0,0";"0,0"
"08121000";"Heilbronn, Stadt";"Oberzentrum";"185";"18";"181";"0";"27.445";"2.592";"24.853";"0";"42,3";"8,4";"50,8";"6,9";"0,0";"0,0"
"08212000";"Karlsruhe, Stadt";"Oberzentrum";"329";"71";"269";"107";"76.272";"20.258";"29.064";"26.950";"2,4";"5,1";"28,0";"4,5";"0,0";"0,0"
"08221000";"Heidelberg, Stadt";"Oberzentrum";"239";"8";"224";"55";"53.506";"1.368";"29.845";"22.293";"1,4";"5,3";"50,2";"21,9";"0,0";"0,0"
"08222000";"Mannheim, Universitätsstadt";"Oberzentrum";"361";"12";"335";"136";"76.872";"1.681";"29.936";"45.255";"2,0";"4,2";"48,5";"3,7";"0,0";"0,0"
"08231000";"Pforzheim, Stadt";"Oberzentrum";"271";"7";"270";"0";"33.928";"763";"33.165";"0";"0,0";"4,5";"33,1";"27,8";"0,0";"0,0"
"08311000";"Freiburg im Breisgau, Stadt";"Oberzentrum";"226";"9";"184";"71";"49.263";"742";"22.764";"25.757";"0,0";"6,2";"43,0";"7,7";"0,0";"0,0"
"08317096";"Offenburg, Stadt";"Oberzentrum";"122";"2";"122";"0";"9.488";"245";"9.243";"0";"1,7";"2,9";"24,4";"23,4";"0,0";"0,0"
"08326074";"Villingen-Schwenningen, Stadt";"Oberzentrum";"203";"6";"203";"0";"15.049";"341";"14.708";"0";"15,2";"10,7";"69,3";"50,5";"0,0";"0,0"
"08335043";"Konstanz, Universitätsstadt";"Oberzentrum";"103";"4";"103";"0";"21.257";"403";"20.854";"0";"0,0";"27,0";"47,6";"30,8";"0,0";"0,0"
"08336050";"Lörrach, Stadt";"Oberzentrum";"89";"7";"89";"1";"9.232";"855";"8.255";"122";"8,9";"3,9";"15,3";"11,0";"0,0";"0,0"
"08336091";"Weil am Rhein, Stadt";"Oberzentrum";"40";"5";"39";"3";"3.002";"325";"2.197";"480";"4,2";"2,6";"10,1";"1,7";"0,0";"0,0"
"08415061";"Reutlingen, Stadt";"Oberzentrum";"159";"4";"159";"0";"21.230";"313";"20.917";"0";"0,5";"23,3";"23,8";"45,8";"0,0";"0,0"
"08416041";"Tübingen, Universitätsstadt";"Oberzentrum";"194";"6";"193";"0";"33.420";"542";"32.878";"0";"0,0";"19,5";"29,0";"52,5";"0,0";"0,0"
"08421000";"Ulm, Universitätsstadt";"Oberzentrum";"205";"4";"201";"22";"37.022";"470";"32.386";"4.166";"0,0";"9,0";"52,6";"12,2";"0,0";"0,0"
"08435016";"Friedrichshafen, Stadt";"Oberzentrum";"137";"8";"136";"0";"20.793";"497";"20.296";"0";"0,0";"20,2";"3,2";"47,9";"0,0";"0,0"
"08436064";"Ravensburg, Stadt";"Oberzentrum";"97";"3";"97";"0";"9.782";"191";"9.591";"0";"0,6";"19,9";"19,5";"36,8";"0,0";"0,0"
"08436082";"Weingarten, Stadt";"Oberzentrum";"48";"1";"48";"0";"3.949";"31";"3.918";"0";"5,2";"23,8";"24,9";"34,2";"0,0";"0,0"
"09161000";"Ingolstadt";"Oberzentrum";"266";"2";"266";"0";"33.545";"312";"33.233";"0";"0,4";"3,6";"41,9";"7,4";"0,0";"0,0"
"09162000";"München, Landeshauptstadt";"Oberzentrum";"1.006";"42";"935";"227";"350.842";"17.211";"240.612";"93.019";"1,7";"7,2";"27,8";"18,5";"0,0";"0,0"
"09163000";"Rosenheim";"Oberzentrum";"120";"2";"120";"0";"8.608";"260";"8.348";"0";"0,0";"5,6";"45,9";"60,9";"0,0";"0,0"
"09171111";"Altötting, Stadt";"Oberzentrum";"20";"1";"20";"0";"664";"46";"618";"0";"47,7";"5,8";"61,1";"15,2";"0,0";"0,0"
"09171112";"Burghausen, Stadt";"Oberzentrum";"12";"1";"12";"0";"107";"22";"85";"0";"41,9";"8,8";"52,6";"3,4";"0,0";"0,0"
"09171125";"Neuötting, Stadt";"Oberzentrum";"23";"0";"23";"0";"583";"0";"583";"0";"50,1";"5,4";"63,0";"14,3";"0,0";"0,0"
"09172114";"Bad Reichenhall, GKSt";"Oberzentrum";"41";"2";"41";"0";"2.607";"96";"2.511";"0";"17,0";"7,0";"11,2";"71,4";"0,0";"0,0"
"09172118";"Freilassing, Stadt";"Oberzentrum";"12";"2";"11";"0";"491";"264";"227";"0";"0,0";"9,3";"6,4";"53,8";"0,0";"0,0"
"09177117";"Erding, GKSt";"Oberzentrum";"88";"3";"88";"0";"5.712";"265";"5.447";"0";"32,8";"11,4";"14,8";"31,0";"0,0";"0,0"
"09178124";"Freising, GKSt";"Oberzentrum";"105";"3";"104";"0";"10.004";"513";"9.491";"0";"30,3";"4,2";"8,9";"34,3";"0,0";"0,0"
"09180117";"Garmisch-Partenkirchen, Markt";"Oberzentrum";"52";"5";"49";"0";"3.520";"182";"3.338";"0";"0,0";"11,9";"48,6";"93,7";"0,0";"0,0"
"09183128";"Mühldorf a.Inn, Stadt";"Oberzentrum";"46";"1";"46";"0";"1.897";"152";"1.745";"0";"51,4";"4,9";"64,2";"28,6";"0,0";"0,0"
"09183148";"Waldkraiburg, Stadt";"Oberzentrum";"40";"1";"40";"0";"1.241";"48";"1.193";"0";"46,3";"5,8";"61,4";"38,9";"0,0";"0,0"
"09189155";"Traunstein, GKSt";"Oberzentrum";"51";"3";"51";"0";"1.470";"186";"1.284";"0";"0,0";"6,3";"23,1";"48,3";"0,0";"0,0"
