Kennziffer;Raumeinheit;Aggregat;Erreichbarkeit Supermärkte und Discounter ;Shopping Center;Erreichbarkeit Shopping Center
"09183128";"Mühldorf a.Inn, Stadt";"Oberzentrum";"81";"0";"51,0"
"09183148";"Waldkraiburg, Stadt";"Oberzentrum";"85";"0";"54,0"
"09189155";"Traunstein, GKSt";"Oberzentrum";"85";"0";"67,0"
"09190157";"Weilheim i.OB, Stadt";"Oberzentrum";"91";"0";"46,0"
"09261000";"Landshut";"Oberzentrum";"80";"2";"2,0"
"09262000";"Passau";"Oberzentrum";"85";"1";"3,0"
"09263000";"Straubing";"Oberzentrum";"87";"2";"0,0"
"09271119";"Deggendorf, GKSt";"Oberzentrum";"76";"1";"0,0"
"09271146";"Plattling, Stadt";"Oberzentrum";"93";"0";"9,0"
"09279112";"Dingolfing, Stadt";"Oberzentrum";"88";"0";"23,0"
"09361000";"Amberg";"Oberzentrum";"89";"0";"39,0"
"09362000";"Regensburg";"Oberzentrum";"94";"4";"1,0"
"09363000";"Weiden i.d.OPf.";"Oberzentrum";"90";"1";"35,0"
"09372116";"Cham, Stadt";"Oberzentrum";"58";"0";"40,0"
"09373147";"Neumarkt i.d.OPf., GKSt";"Oberzentrum";"76";"1";"2,0"
"09377158";"Waldsassen, Stadt";"Oberzentrum";"54";"0";"20,0"
"09461000";"Bamberg";"Oberzentrum";"94";"0";"7,0"
"09462000";"Bayreuth";"Oberzentrum";"89";"1";"1,0"
"09463000";"Coburg";"Oberzentrum";"75";"0";"33,0"
"09464000";"Hof";"Oberzentrum";"87";"1";"25,0"
"09474126";"Forchheim, GKSt";"Oberzentrum";"77";"0";"13,0"
"09477128";"Kulmbach, GKSt";"Oberzentrum";"58";"1";"0,0"
"09479136";"Marktredwitz, GKSt";"Oberzentrum";"78";"1";"2,0"
"09479152";"Selb, GKSt";"Oberzentrum";"60";"0";"20,0"
"09479169";"Wunsiedel, Stadt";"Oberzentrum";"71";"0";"9,0"
"09561000";"Ansbach";"Oberzentrum";"78";"1";"0,0"
"09562000";"Erlangen";"Oberzentrum";"90";"2";"0,0"
"09563000";"Fürth";"Oberzentrum";"92";"2";"3,0"
"09564000";"Nürnberg";"Oberzentrum";"96";"4";"2,0"
"09565000";"Schwabach";"Oberzentrum";"85";"1";"4,0"
"09661000";"Aschaffenburg";"Oberzentrum";"92";"1";"0,0"
"09662000";"Schweinfurt";"Oberzentrum";"96";"1";"1,0"
"09663000";"Würzburg";"Oberzentrum";"93";"0";"28,0"
"09672114";"Bad Kissingen, GKSt";"Oberzentrum";"69";"0";"23,0"
"09673114";"Bad Neustadt a.d.Saale, Stadt";"Oberzentrum";"81";"0";"30,0"
"09761000";"Augsburg";"Oberzentrum";"95";"3";"2,0"
"09762000";"Kaufbeuren";"Oberzentrum";"96";"1";"28,0"
"09763000";"Kempten (Allgäu)";"Oberzentrum";"93";"2";"2,0"
"09764000";"Memmingen";"Oberzentrum";"86";"0";"18,0"
"09773125";"Dillingen a.d.Donau, GKSt";"Oberzentrum";"74";"0";"36,0"
"09773144";"Lauingen (Donau), Stadt";"Oberzentrum";"81";"0";"32,0"
"09774135";"Günzburg, GKSt";"Oberzentrum";"84";"0";"23,0"
"09774155";"Leipheim, Stadt";"Oberzentrum";"79";"0";"18,0"
"09775135";"Neu-Ulm, GKSt";"Oberzentrum";"82";"1";"0,0"
"09776116";"Lindau (Bodensee), GKSt";"Oberzentrum";"82";"1";"0,0"
"09779131";"Donauwörth, GKSt";"Oberzentrum";"71";"0";"32,0"
"09779194";"Nördlingen, GKSt";"Oberzentrum";"78";"0";"32,0"
"09780124";"Immenstadt i.Allgäu, Stadt";"Oberzentrum";"63";"0";"18,0"
"09780139";"Sonthofen, Stadt";"Oberzentrum";"83";"0";"22,0"
"10041100";"Saarbrücken, Landeshauptstadt";"Oberzentrum";"85";"2";"1,0"
"11000000";"Berlin, Stadt";"Oberzentrum";"98";"42";"0,0"
"12051000";"Brandenburg an der Havel, Stadt";"Oberzentrum";"83";"3";"3,0"
"12052000";"Cottbus, Stadt";"Oberzentrum";"85";"4";"2,0"
"12053000";"Frankfurt (Oder), Stadt";"Oberzentrum";"88";"4";"1,0"
"12054000";"Potsdam, Stadt";"Oberzentrum";"89";"2";"2,0"
"13003000";"Rostock, Hansestadt";"Oberzentrum";"95";"3";"0,0"
"13004000";"Schwerin, Landeshauptstadt";"Oberzentrum";"92";"3";"4,0"
"13071107";"Neubrandenburg, Stadt";"Oberzentrum";"95";"3";"2,0"
"13073088";"Stralsund, Hansestadt";"Oberzentrum";"95";"2";"6,0"
"13075039";"Greifswald, Hansestadt";"Oberzentrum";"97";"2";"2,0"
"14511000";"Chemnitz, Stadt";"Oberzentrum";"87";"6";"1,0"
"14523320";"Plauen, Stadt";"Oberzentrum";"85";"3";"0,0"
"14524330";"Zwickau, Stadt";"Oberzentrum";"82";"1";"0,0"
"14612000";"Dresden, Stadt";"Oberzentrum";"93";"10";"0,0"
"14625020";"Bautzen, Stadt";"Oberzentrum";"92";"1";"0,0"
"14625240";"Hoyerswerda, Stadt";"Oberzentrum";"91";"1";"1,0"
"14626110";"Görlitz, Stadt";"Oberzentrum";"90";"1";"4,0"
"14713000";"Leipzig, Stadt";"Oberzentrum";"96";"7";"0,0"
"15001000";"Dessau-Roßlau, Stadt";"Oberzentrum";"87";"4";"0,0"
"15002000";"Halle (Saale), Stadt";"Oberzentrum";"96";"4";"4,0"
"15003000";"Magdeburg, Landeshauptstadt";"Oberzentrum";"95";"4";"0,0"
"16051000";"Erfurt, Stadt";"Oberzentrum";"89";"3";"1,0"
"16052000";"Gera, Stadt";"Oberzentrum";"86";"4";"0,0"
"16053000";"Jena, Stadt";"Oberzentrum";"92";"2";"2,0"
