Kennziffer;Raumeinheit;Aggregat;Beschäftigte am Arbeitsort;Beschäftigte am Wohnort;Beschäftigtendichte (AO);Beschäftigtendichte (WO);Entwicklung Beschäftigte;Einpendler;Auspendler;Pendlersaldo 
"06631009";"Fulda, Stadt";"Oberzentrum";"51.651";"25.214";"759,0";"370,0";"14,2";"35.753";"9.331,0";"51,2"
"07111000";"Koblenz, Stadt";"Oberzentrum";"72.765";"40.446";"639,0";"355,0";"10,0";"48.481";"16.191,0";"44,4"
"07211000";"Trier, Stadt";"Oberzentrum";"55.214";"33.870";"501,0";"307,0";"8,2";"30.734";"9.410,0";"38,6"
"07312000";"Kaiserslautern, Stadt";"Oberzentrum";"52.687";"35.217";"528,0";"353,0";"5,0";"30.810";"13.363,0";"33,1"
"07314000";"Ludwigshafen am Rhein, Stadt";"Oberzentrum";"102.017";"64.046";"605,0";"380,0";"8,3";"70.270";"32.355,0";"37,2"
"07315000";"Mainz, Stadt";"Oberzentrum";"111.573";"81.537";"518,0";"379,0";"8,1";"70.267";"40.288,0";"26,9"
"08111000";"Stuttgart, Landeshauptstadt";"Oberzentrum";"405.383";"252.533";"640,0";"399,0";"12,7";"244.502";"91.858,0";"37,7"
"08121000";"Heilbronn, Stadt";"Oberzentrum";"70.658";"51.489";"564,0";"411,0";"11,6";"44.666";"25.541,0";"27,1"
"08212000";"Karlsruhe, Stadt";"Oberzentrum";"176.296";"117.937";"565,0";"378,0";"7,8";"102.780";"44.505,0";"33,1"
"08221000";"Heidelberg, Stadt";"Oberzentrum";"91.173";"51.228";"567,0";"318,0";"10,9";"63.075";"23.167,0";"43,8"
"08222000";"Mannheim, Universitätsstadt";"Oberzentrum";"185.371";"121.700";"601,0";"395,0";"8,5";"112.164";"48.585,0";"34,3"
"08231000";"Pforzheim, Stadt";"Oberzentrum";"57.714";"48.745";"464,0";"392,0";"12,9";"30.931";"21.986,0";"15,5"
"08311000";"Freiburg im Breisgau, Stadt";"Oberzentrum";"123.082";"79.789";"535,0";"347,0";"14,1";"67.551";"24.310,0";"35,1"
"08317096";"Offenburg, Stadt";"Oberzentrum";"40.740";"24.040";"689,0";"407,0";"14,2";"26.914";"10.238,0";"40,9"
"08326074";"Villingen-Schwenningen, Stadt";"Oberzentrum";"41.105";"33.769";"486,0";"399,0";"12,7";"21.082";"13.763,0";"17,8"
"08335043";"Konstanz, Universitätsstadt";"Oberzentrum";"30.767";"28.011";"364,0";"331,0";"9,4";"10.952";"8.218,0";"8,9"
"08336050";"Lörrach, Stadt";"Oberzentrum";"21.970";"15.521";"446,0";"315,0";"10,8";"13.726";"7.288,0";"29,3"
"08336091";"Weil am Rhein, Stadt";"Oberzentrum";"11.767";"9.385";"389,0";"310,0";"10,6";"7.573";"5.198,0";"20,2"
"08415061";"Reutlingen, Stadt";"Oberzentrum";"55.763";"45.675";"481,0";"394,0";"13,9";"32.669";"22.604,0";"18,0"
"08416041";"Tübingen, Universitätsstadt";"Oberzentrum";"45.965";"30.782";"513,0";"344,0";"13,7";"28.533";"13.371,0";"33,0"
"08421000";"Ulm, Universitätsstadt";"Oberzentrum";"93.953";"50.966";"748,0";"405,0";"10,8";"63.158";"20.219,0";"45,7"
"08435016";"Friedrichshafen, Stadt";"Oberzentrum";"35.611";"25.722";"592,0";"428,0";"6,2";"20.277";"10.408,0";"27,7"
"08436064";"Ravensburg, Stadt";"Oberzentrum";"36.270";"21.122";"719,0";"419,0";"13,8";"25.993";"10.856,0";"41,7"
"08436082";"Weingarten, Stadt";"Oberzentrum";"11.816";"9.915";"472,0";"396,0";"8,9";"9.219";"7.321,0";"16,1"
"09161000";"Ingolstadt";"Oberzentrum";"105.702";"60.422";"781,0";"446,0";"20,2";"64.774";"19.549,0";"42,8"
"09162000";"München, Landeshauptstadt";"Oberzentrum";"850.395";"645.488";"584,0";"443,0";"15,9";"382.943";"178.603,0";"24,0"
"09163000";"Rosenheim";"Oberzentrum";"35.440";"24.779";"561,0";"392,0";"15,7";"23.871";"13.238,0";"30,0"
"09171111";"Altötting, Stadt";"Oberzentrum";"7.704";"5.045";"596,0";"390,0";"6,9";"6.060";"3.408,0";"34,4"
"09171112";"Burghausen, Stadt";"Oberzentrum";"17.687";"7.376";"949,0";"396,0";"1,1";"13.472";"3.175,0";"58,2"
"09171125";"Neuötting, Stadt";"Oberzentrum";"3.149";"3.326";"357,0";"377,0";"8,2";"2.507";"2.687,0";"-5,7"
"09172114";"Bad Reichenhall, GKSt";"Oberzentrum";"7.262";"5.321";"404,0";"296,0";"5,8";"4.531";"2.594,0";"26,7"
"09172118";"Freilassing, Stadt";"Oberzentrum";"7.950";"5.246";"473,0";"312,0";"7,3";"5.471";"2.773,0";"33,9"
"09177117";"Erding, GKSt";"Oberzentrum";"13.963";"16.419";"383,0";"451,0";"11,7";"9.062";"11.525,0";"-17,6"
"09178124";"Freising, GKSt";"Oberzentrum";"39.111";"21.526";"809,0";"445,0";"11,0";"30.952";"13.389,0";"44,9"
"09180117";"Garmisch-Partenkirchen, Markt";"Oberzentrum";"11.662";"9.696";"431,0";"358,0";"13,2";"5.175";"3.215,0";"16,8"
"09183128";"Mühldorf a.Inn, Stadt";"Oberzentrum";"11.645";"8.271";"578,0";"411,0";"22,2";"8.433";"5.089,0";"28,7"
"09183148";"Waldkraiburg, Stadt";"Oberzentrum";"8.606";"10.131";"367,0";"432,0";"12,1";"4.581";"6.143,0";"-18,2"
"09189155";"Traunstein, GKSt";"Oberzentrum";"15.259";"7.642";"756,0";"378,0";"14,1";"11.686";"4.073,0";"49,9"
"09190157";"Weilheim i.OB, Stadt";"Oberzentrum";"10.225";"8.723";"457,0";"390,0";"9,0";"7.120";"5.620,0";"14,7"
"09261000";"Landshut";"Oberzentrum";"38.354";"28.683";"538,0";"402,0";"14,5";"25.183";"15.541,0";"25,1"
"09262000";"Passau";"Oberzentrum";"38.474";"17.819";"743,0";"344,0";"11,1";"26.454";"5.816,0";"53,6"
"09263000";"Straubing";"Oberzentrum";"29.395";"19.115";"617,0";"401,0";"13,1";"17.958";"7.695,0";"34,9"
"09271119";"Deggendorf, GKSt";"Oberzentrum";"23.336";"13.064";"699,0";"391,0";"11,4";"16.417";"6.159,0";"44,0"
"09271146";"Plattling, Stadt";"Oberzentrum";"9.212";"5.496";"711,0";"424,0";"13,1";"7.015";"3.299,0";"40,3"
"09279112";"Dingolfing, Stadt";"Oberzentrum";"29.995";"9.350";"1.537,0";"479,0";"10,1";"24.779";"4.154,0";"68,8"
"09361000";"Amberg";"Oberzentrum";"27.117";"16.409";"641,0";"388,0";"12,6";"17.555";"6.849,0";"39,5"
"09362000";"Regensburg";"Oberzentrum";"121.773";"62.423";"807,0";"413,0";"15,8";"78.027";"18.723,0";"48,7"
"09363000";"Weiden i.d.OPf.";"Oberzentrum";"27.640";"16.237";"649,0";"381,0";"7,3";"17.954";"6.563,0";"41,2"
"09372116";"Cham, Stadt";"Oberzentrum";"16.547";"6.893";"985,0";"410,0";"17,2";"12.780";"3.131,0";"58,3"
"09373147";"Neumarkt i.d.OPf., GKSt";"Oberzentrum";"21.293";"16.776";"534,0";"421,0";"13,6";"12.090";"7.577,0";"21,2"
"09377158";"Waldsassen, Stadt";"Oberzentrum";"2.422";"2.465";"358,0";"365,0";"8,0";"1.502";"1.547,0";"-1,9"
"09461000";"Bamberg";"Oberzentrum";"54.078";"27.748";"700,0";"359,0";"10,9";"37.675";"11.366,0";"48,7"
"09462000";"Bayreuth";"Oberzentrum";"47.549";"26.510";"642,0";"358,0";"11,2";"29.189";"8.168,0";"44,2"
"09463000";"Coburg";"Oberzentrum";"33.631";"16.740";"815,0";"405,0";"4,3";"23.433";"6.550,0";"50,2"
"09464000";"Hof";"Oberzentrum";"24.403";"16.837";"531,0";"366,0";"4,2";"14.356";"6.805,0";"30,9"
"09474126";"Forchheim, GKSt";"Oberzentrum";"16.137";"13.334";"502,0";"415,0";"17,8";"11.259";"8.458,0";"17,4"
"09477128";"Kulmbach, GKSt";"Oberzentrum";"14.775";"10.762";"568,0";"413,0";"2,3";"8.988";"4.978,0";"27,1"
"09479136";"Marktredwitz, GKSt";"Oberzentrum";"10.348";"6.516";"598,0";"377,0";"12,6";"6.779";"2.949,0";"37,0"
"09479152";"Selb, GKSt";"Oberzentrum";"7.676";"5.801";"507,0";"383,0";"13,7";"4.468";"2.597,0";"24,4"
"09479169";"Wunsiedel, Stadt";"Oberzentrum";"3.988";"3.452";"435,0";"377,0";"1,4";"2.743";"2.207,0";"13,4"
"09561000";"Ansbach";"Oberzentrum";"27.107";"16.793";"650,0";"403,0";"9,2";"17.400";"7.095,0";"38,0"
"09562000";"Erlangen";"Oberzentrum";"89.351";"45.852";"804,0";"413,0";"2,4";"61.446";"17.978,0";"48,6"
"09563000";"Fürth";"Oberzentrum";"47.669";"54.978";"376,0";"434,0";"16,5";"31.583";"38.913,0";"-15,4"
"09564000";"Nürnberg";"Oberzentrum";"305.674";"210.968";"593,0";"409,0";"11,1";"161.545";"67.039,0";"30,9"
"09565000";"Schwabach";"Oberzentrum";"16.045";"16.342";"393,0";"400,0";"11,6";"10.708";"11.013,0";"-1,9"
"09661000";"Aschaffenburg";"Oberzentrum";"45.118";"27.964";"645,0";"399,0";"-1,8";"31.635";"14.493,0";"38,0"
"09662000";"Schweinfurt";"Oberzentrum";"52.898";"19.744";"989,0";"369,0";"1,5";"40.255";"7.109,0";"62,7"
"09663000";"Würzburg";"Oberzentrum";"88.219";"49.906";"696,0";"394,0";"10,0";"56.232";"17.940,0";"43,4"
"09672114";"Bad Kissingen, GKSt";"Oberzentrum";"11.150";"7.735";"501,0";"347,0";"8,1";"7.291";"3.883,0";"30,6"
"09673114";"Bad Neustadt a.d.Saale, Stadt";"Oberzentrum";"16.108";"6.277";"1.048,0";"408,0";"7,6";"12.449";"2.625,0";"61,0"
"09761000";"Augsburg";"Oberzentrum";"143.195";"116.991";"488,0";"399,0";"9,4";"74.207";"48.063,0";"18,3"
"09762000";"Kaufbeuren";"Oberzentrum";"18.129";"17.249";"416,0";"396,0";"14,0";"9.340";"8.466,0";"4,8"
"09763000";"Kempten (Allgäu)";"Oberzentrum";"37.142";"27.043";"543,0";"395,0";"6,2";"21.945";"11.862,0";"27,1"
"09764000";"Memmingen";"Oberzentrum";"30.215";"17.774";"695,0";"408,0";"6,3";"19.212";"6.785,0";"41,1"
